objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
65260,MainField,C-5,0x27de976bd35b12c0,Enemy_Bokoblin_Boss_Middle,Surface77,Hyrule Field,1,['Weapon_Lsword_112'],1,,,"[-2744.2, 201.57, 865.9]",Table,['Default']
81545,MainField,D-2,0x08f922f7f9ce5aca,Enemy_Bokoblin_Boss_Middle,Surface5,Pikida Stonegrove,1,['Weapon_Lsword_112'],1,,,"[-1800.53, 361.35, -2202.84]",Table,['Default']
92118,MainField,D-5,0xf49244c6b7528967,Enemy_Bokoblin_Boss_Middle,Surface64,Hyrule Field,1,['Weapon_Lsword_113'],1,,,"[-1713.36, 211.46, 403.44]",Table,['Default']
96554,MainField,D-6,0xae894b7b0ea6fff9,Enemy_Bokoblin_Boss_Middle,Surface32,Hyrule Field,0,['Weapon_Lsword_106'],1,,,"[-1716.88, 215.65, 1325.37]",Table,['Default']
119163,MainField,E-5,0x37f6df99d0dc5793,Enemy_Bokoblin_Boss_Middle,Surface32,Hyrule Field,1,"['Weapon_Lsword_103', 'DgnObj_SpikeBall_A']",1,,,"[-718.08, 166.6, 987.92]",Table,['Default']
128443,MainField,E-7,0x2a0ffbefdb451244,Enemy_Bokoblin_Boss_Middle,Surface25,Popla Foothills,1,['Weapon_Lsword_112'],1,,,"[-183.27, 175.96, 2990.82]",Table,['Default']
134711,MainField,F-1,0x91b39d46c173ab92,Enemy_Bokoblin_Boss_Middle,Surface96,Thyphlo Ruins,1,,1,,,"[230.48, 173.69, -3677.31]",Table,['Default']
144716,MainField,F-4,0x2a8a12d9d4f74f4c,Enemy_Bokoblin_Boss_Middle,Surface6,Lookout Landing,1,"['Weapon_Lsword_108', 'Item_Mushroom_E']",0,,,"[472.84, 129.34, -384.72]",Table,['Default']
155157,MainField,F-6,0xe5842d97e9e360f9,Enemy_Bokoblin_Boss_Middle,Surface32,Hyrule Field,1,"['Weapon_Lsword_108', 'AsbObj_SpikeDynamic_A_01']",0,,,"[34.96, 119.47, 1289.41]",Table,['Default']
162188,MainField,F-7,0x918d1c899f92b6ec,Enemy_Bokoblin_Boss_Middle,Surface49,Popla Foothills,0,"['Weapon_Lsword_113', 'Item_Enemy_58']",1,,,"[567.05, 200.33, 2395.63]",Table,['Default']
162378,MainField,F-7,0x0436b8ed1a1c2a24,Enemy_Bokoblin_Boss_Middle,Surface49,Popla Foothills,1,"['Weapon_Lsword_112', 'AsbObj_SharpRock_A_S_01']",1,,,"[495.5, 114.43, 2161.99]",Table,['Default']
167409,MainField,F-8,0xac7d81adde9cea03,Enemy_Bokoblin_Boss_Middle,Surface36,Popla Foothills,1,['Weapon_Lsword_112'],1,,,"[776.31, 189.55, 3538.65]",Table,['Default']
170216,MainField,G-1,0xdceff5c63f874227,Enemy_Bokoblin_Boss_Middle,Surface105,Eldin Canyon,0,['Weapon_Lsword_136'],1,,,"[1929.52, 497.9, -3028.88]",Table,['Default']
174899,MainField,G-2,0xd528cfe9939e516a,Enemy_Bokoblin_Boss_Middle,Surface67,Eldin Canyon,0,['Weapon_Lsword_106'],1,,,"[1747.57, 504.32, -2720.66]",Table,['Default']
181462,MainField,G-3,0xedc696aa8b6af42f,Enemy_Bokoblin_Boss_Middle,Surface60,Eldin Canyon,1,['Weapon_Lsword_113'],1,,,"[1120.46, 215.87, -1336.82]",Table,['Default']
181468,MainField,G-3,0x55c78d5de479c96f,Enemy_Bokoblin_Boss_Middle,Surface7,Eldin Canyon,1,"['Weapon_Lsword_136', 'AsbObj_SharpRock_A_S_01']",1,,,"[1473.02, 401.07, -1443.63]",Table,['Default']
