objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
9290,MainField,A-6,0xf62da68bb4ff0d03,Enemy_Bokoblin_Guard_Middle,Surface0,Gerudo Highlands,0,"['Weapon_Bow_003', 'BokoblinPipe']",1,,,"[-4757.98, 618.02, 1348.01]",Table,['Arrow']
9312,MainField,A-6,0x1aebb98f7a48c927,Enemy_Bokoblin_Guard_Middle,Surface0,Gerudo Highlands,0,"['Weapon_Bow_003', 'BokoblinPipe']",1,,,"[-4738.7, 617.72, 1351.72]",Table,['Arrow']
9389,MainField,A-6,0x191b55ea009f70ab,Enemy_Bokoblin_Guard_Middle,Surface4,Gerudo Highlands,0,"['Weapon_Bow_003', 'BokoblinPipe']",1,,,"[-4318.3, 415.3, 1468.88]",Table,['Arrow']
9391,MainField,A-6,0xc6e25ac443032fdd,Enemy_Bokoblin_Guard_Middle,Surface4,Gerudo Highlands,0,"['Weapon_Bow_003', 'BokoblinPipe']",1,,,"[-4313.61, 415.67, 1466.21]",Table,['Arrow']
11017,MainField,A-7,0xeece63dbcf287536,Enemy_Bokoblin_Guard_Middle,Surface21,Gerudo Canyon,0,"['Weapon_Bow_003', 'BokoblinPipe', 'FireFruit', 'BokoblinBasket_FireFruit']",0,,,"[-4274.07, 152.1, 2871.26]",Table,['Fire']
12952,MainField,A-8,0x0e70efb07bc4b7ad,Enemy_Bokoblin_Guard_Middle,Surface40,Gerudo Canyon,0,"['Weapon_Bow_003', 'BokoblinPipe', 'ElectricalFruit', 'BokoblinBasket_ElectricalFruit']",0,,,"[-4632.99, 142.83, 3872.3]",Table,['Thunder']
12962,MainField,A-8,0xad908b80524b09e6,Enemy_Bokoblin_Guard_Middle,Surface21,Gerudo Canyon,0,"['Weapon_Bow_003', 'BokoblinPipe', 'FireFruit', 'BokoblinBasket_FireFruit']",0,,,"[-4661.82, 148.88, 3050.67]",Table,['Fire']
12977,MainField,A-8,0xd4e9c535a7b9ef14,Enemy_Bokoblin_Guard_Middle,Surface21,Gerudo Canyon,0,"['Weapon_Bow_003', 'BokoblinPipe', 'ElectricalFruit', 'BokoblinBasket_ElectricalFruit']",0,,,"[-4642.7, 148.95, 3085.82]",Table,['Thunder']
12978,MainField,A-8,0x1cfc913b04d7d9d7,Enemy_Bokoblin_Guard_Middle,Surface21,Gerudo Canyon,0,"['Weapon_Bow_003', 'BokoblinPipe', 'FireFruit', 'BokoblinBasket_FireFruit']",0,,,"[-4656, 147.14, 3111]",Table,['Fire']
12979,MainField,A-8,0x6a36a9d49f3cd491,Enemy_Bokoblin_Guard_Middle,Surface21,Gerudo Canyon,0,"['Weapon_Bow_003', 'BokoblinPipe', 'FireFruit', 'BokoblinBasket_FireFruit']",0,,,"[-4700.36, 147.97, 3112.2]",Table,['Fire']
12980,MainField,A-8,0xc54d1fbb0ff5c522,Enemy_Bokoblin_Guard_Middle,Surface21,Gerudo Canyon,0,"['Weapon_Bow_003', 'BokoblinPipe', 'ElectricalFruit', 'BokoblinBasket_ElectricalFruit']",0,,,"[-4718.94, 149.08, 3081.21]",Table,['Thunder']
12981,MainField,A-8,0x83881d0b6d090e85,Enemy_Bokoblin_Guard_Middle,Surface21,Gerudo Canyon,0,"['Weapon_Bow_003', 'BokoblinPipe', 'ElectricalFruit', 'BokoblinBasket_ElectricalFruit']",0,,,"[-4691.83, 148.92, 3049.94]",Table,['Thunder']
12982,MainField,A-8,0xe364ecc1632f99d3,Enemy_Bokoblin_Guard_Middle,Surface21,Gerudo Canyon,0,"['Weapon_Bow_003', 'BokoblinPipe', 'FireFruit', 'BokoblinBasket_FireFruit']",0,,,"[-4711.97, 148.79, 3061.53]",Table,['Fire']
13935,MainField,A-8,0xfdb50d5dfb575581,Enemy_Bokoblin_Guard_Middle,Surface21,Gerudo Canyon,0,"['Weapon_Bow_003', 'BokoblinPipe', 'ElectricalFruit', 'BokoblinBasket_ElectricalFruit']",1,,,"[-4677.28, 147.39, 3128.82]",Table,['Thunder']
21512,MainField,B-2,0x88370b97d9051570,Enemy_Bokoblin_Guard_Middle,Surface3,Rospro Pass,0,"['Weapon_Sword_112', 'Weapon_Shield_002', 'BokoblinPipe']",1,,,"[-3722, 248.91, -2203.47]",Table,['Default']
31243,MainField,B-5,0x532d1e763ad3e38b,Enemy_Bokoblin_Guard_Middle_TreeHouseTop,Surface4,Gerudo Highlands,0,"['Weapon_Bow_003', 'BokoblinPipe', 'FireFruit', 'BokoblinBasket_FireFruit']",0,,,"[-3532.75, 249.72, 367.58]",Table,['Fire']
