objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
11794,MainField,A-7,0x82dcabb9ba6857c2,Enemy_Chuchu_Electric_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4596.75, 139.51, 2656.95]",Table,['Default']
39318,MainField,B-7,0xb0a356237175333a,Enemy_Chuchu_Electric_Junior,Surface72,Gerudo Canyon,0,,0,,,"[-3514.64, 108.74, 2732.71]",Table,['Default']
39323,MainField,B-7,0xebf30bdb2a5aee7b,Enemy_Chuchu_Electric_Junior,Surface72,Gerudo Canyon,0,,0,,,"[-3097.43, 116.21, 2887.06]",Table,['Default']
39324,MainField,B-7,0x111193b5fd2b390d,Enemy_Chuchu_Electric_Junior,Surface72,Gerudo Canyon,0,,0,,,"[-3322.61, 153.08, 2828.9]",Table,['Default']
39382,MainField,B-7,0xcf6f86a42c9b6c36,Enemy_Chuchu_Electric_Junior,Surface72,Gerudo Canyon,0,,0,,,"[-3431.58, 137.12, 2556.56]",Table,['Default']
39383,MainField,B-7,0xb846efb2e273b8d4,Enemy_Chuchu_Electric_Junior,Surface72,Gerudo Canyon,0,,0,,,"[-3215.54, 148.5, 2790.54]",Table,['Default']
39384,MainField,B-7,0xc3da59968e6daf37,Enemy_Chuchu_Electric_Junior,Surface72,Gerudo Canyon,0,,0,,,"[-3608.03, 146.26, 2354.1]",Table,['Default']
39399,MainField,B-7,0x4d71bb67f901d68f,Enemy_Chuchu_Electric_Junior,Surface72,Gerudo Canyon,0,,0,,,"[-3561.79, 143.83, 2666.83]",Table,['Default']
39400,MainField,B-7,0xc558dd42b2bf1ae6,Enemy_Chuchu_Electric_Junior,Surface72,Gerudo Canyon,0,,0,,,"[-3662.35, 145.61, 2854.38]",Table,['Default']
40249,MainField,B-7,0x87aa9e69a1f74e4e,Enemy_Chuchu_Electric_Junior,Surface72,Gerudo Canyon,0,,0,,,"[-3894.5, 147.47, 2550.41]",Table,['Default']
40250,MainField,B-7,0x2150035bb8dc92e2,Enemy_Chuchu_Electric_Junior,Surface72,Gerudo Canyon,0,,0,,,"[-3892.9, 147.48, 2545.58]",Table,['Default']
44816,MainField,B-8,0xe3ed04b16574f46c,Enemy_Chuchu_Electric_Junior,Surface72,Gerudo Canyon,0,,0,,,"[-3194.85, 120.52, 3072.31]",Table,['Default']
44817,MainField,B-8,0x5c378eed54b167f1,Enemy_Chuchu_Electric_Junior,Surface72,Gerudo Canyon,0,,0,,,"[-3184.09, 125.51, 3042.34]",Table,['Default']
44828,MainField,B-8,0x66f037a107602197,Enemy_Chuchu_Electric_Junior,Surface72,Gerudo Canyon,0,,0,,,"[-3315.99, 133.75, 3015.14]",Table,['Default']
75325,MainField,C-8,0x04701180d9a85182,Enemy_Chuchu_Electric_Junior,Surface21,Gerudo Canyon,0,,0,,,"[-2296.91, 117.9, 3690.06]",Table,['Default']
75327,MainField,C-8,0xcbdb7920e29a7350,Enemy_Chuchu_Electric_Junior,Surface21,Gerudo Canyon,0,,0,,,"[-2361.53, 118.65, 3699.56]",Table,['Default']
