objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
85624,MainField,D-3,0xe767f832945ad932,Enemy_Chuchu_Middle,Surface60,Lindor's Brow,0,,1,,,"[-1242.38, 209.04, -1853.36]",Table,['Default']
90658,MainField,D-5,0x5fd93275337aaa0e,Enemy_Chuchu_Middle,Surface6,Lookout Landing,0,,0,,,"[-1081.18, 169.81, 528.92]",Table,['Default']
90659,MainField,D-5,0x7df585c80a5e839b,Enemy_Chuchu_Middle,Surface6,Lookout Landing,0,,0,,,"[-1087.16, 169.79, 529.69]",Table,['Default']
144894,MainField,F-4,0x30cdf3275bc88283,Enemy_Chuchu_Middle,Surface6,Lookout Landing,0,,0,,,"[699.74, 115.08, -78.49]",Table,['Default']
144895,MainField,F-4,0x58011bbd36ec909e,Enemy_Chuchu_Middle,Surface6,Lookout Landing,0,,0,,,"[708.37, 115.08, -71.35]",Table,['Default']
144896,MainField,F-4,0xe8742aac664d9a71,Enemy_Chuchu_Middle,Surface6,Lookout Landing,0,,0,,,"[697.02, 115.1, -69.33]",Table,['Default']
144964,MainField,F-4,0xd6352ac5e27be43e,Enemy_Chuchu_Middle,Surface41,Sahasra Slope,0,,0,,,"[958.3, 186.85, -600.86]",Table,['Default']
144965,MainField,F-4,0xeee25087929807d3,Enemy_Chuchu_Middle,Surface41,Sahasra Slope,0,,0,,,"[959.29, 186.78, -594.59]",Table,['Default']
185884,MainField,G-4,0x93140f0a13c427bf,Enemy_Chuchu_Middle,Surface17,Eldin Canyon,0,,1,,,"[1734.38, 115.63, -455.84]",Table,['Default']
187898,MainField,G-5,0x3c35bdf85f74aaf6,Enemy_Chuchu_Middle,Surface65,Sahasra Slope,0,,0,,,"[1249.63, 115.55, 423.36]",Table,['Default']
217733,MainField,H-4,0x58f49ac1dd26566d,Enemy_Chuchu_Middle,Surface84,Upland Zorana,0,,0,,,"[2720.82, 198.26, -268.08]",Table,['Default']
218924,MainField,H-4,0x08ddb111b49560ba,Enemy_Chuchu_Middle,Surface85,Upland Zorana,0,,1,,,"[2766.3, 446.75, -571.2]",Table,['Default']
219846,MainField,H-4,0x0749035a7af0d1a1,Enemy_Chuchu_Middle,Surface84,Upland Zorana,0,,1,,,"[2505.01, 156.2, -106.52]",Table,['Default']
255353,MainField,I-5,0xaaa86ff2d9c9c2c6,Enemy_Chuchu_Middle,Surface34,Upland Zorana,0,,0,,,"[3214.65, 287.43, 139.23]",Table,['Default']
273615,MainField,J-3,0xa96737cdb116cced,Enemy_Chuchu_Middle,Surface75,Upland Zorana,0,,0,,,"[4687.61, 286.36, -1354.06]",Table,['Default']
273616,MainField,J-3,0xdb4c35527cdfcabb,Enemy_Chuchu_Middle,Surface75,Upland Zorana,0,,0,,,"[4672.5, 260.4, -1282.48]",Table,['Default']
273617,MainField,J-3,0xb3076bcc5419c70d,Enemy_Chuchu_Middle,Surface75,Upland Zorana,0,,0,,,"[4728.93, 273.12, -1309.89]",Table,['Default']
273618,MainField,J-3,0x5ceee41f893308da,Enemy_Chuchu_Middle,Surface75,Upland Zorana,0,,0,,,"[4683.03, 261.02, -1210.3]",Table,['Default']
516097,MainField,Sky__StartIslandMerge2 ,0xa3f85cf4ffdb2af9,Enemy_Chuchu_Middle,Sky94,,0,,0,,,"[379.59, 1542.2, 1674.78]",Table,['Default']
516098,MainField,Sky__StartIslandMerge2 ,0x69f33147edfd4ed0,Enemy_Chuchu_Middle,Sky94,,0,,0,,,"[383.38, 1542.59, 1671.1]",Table,['Default']
516587,MainField,Sky__StartIslandMerge2 ,0xee3d35c9f1262255,Enemy_Chuchu_Middle,Sky94,,0,,0,,,"[476.07, 1496.5, 1577.63]",Table,['Default']
542367,MainField,Cave__Cave_LanayruMountain_0010_GroupSet_000 ,0x01e773362b900934,Enemy_Chuchu_Middle,Cave38,,0,,1,,,"[3495.51, 113.54, 1040.18]",Table,['Default']
542661,MainField,Cave__Cave_LanayruMountain_0014_GroupSet_000 ,0xf93b36b60e8b293d,Enemy_Chuchu_Middle,Cave13,,0,,1,,,"[2382.37, 92.11, 1484.45]",Table,['Default']
542662,MainField,Cave__Cave_LanayruMountain_0014_GroupSet_000 ,0x3d6ecb348947b106,Enemy_Chuchu_Middle,Cave13,,0,,1,,,"[2385.66, 92.11, 1477.39]",Table,['Default']
542663,MainField,Cave__Cave_LanayruMountain_0014_GroupSet_000 ,0xa22729024055f75b,Enemy_Chuchu_Middle,Cave13,,0,,1,,,"[2377.9, 92.11, 1478.07]",Table,['Default']
546626,MainField,Cave__Pln_Fld_Zora_AncientFacility__01_01 ,0xcd793b0c992faa8b,Enemy_Chuchu_Middle,Cave34,,0,,0,,,"[3598.3, 95, -351.46]",Table,['Default']
547003,MainField,Cave__Pln_Fld_Zora_AncientFacility__01_01 ,0xe16f55e2e168bcdb,Enemy_Chuchu_Middle,Cave34,,0,,1,,,"[3598.27, 95.25, -330.66]",Table,['Default']
547004,MainField,Cave__Pln_Fld_Zora_AncientFacility__01_01 ,0x90d6ee9dfd70751d,Enemy_Chuchu_Middle,Cave34,,0,,1,,,"[3605, 95.25, -328.73]",Table,['Default']
548933,MainField,Cave__Well_0043_GroupSet_000 ,0xda6306cc44e3b435,Enemy_Chuchu_Middle,Cave24,,0,,1,,,"[522.98, 111.94, 3607.33]",Table,['Default']
548934,MainField,Cave__Well_0043_GroupSet_000 ,0x8149fbbf7d0f853e,Enemy_Chuchu_Middle,Cave24,,0,,1,,,"[522.81, 111.94, 3601.25]",Table,['Default']
548935,MainField,Cave__Well_0043_GroupSet_000 ,0xd838634e8a3ee7ae,Enemy_Chuchu_Middle,Cave24,,0,,1,,,"[527.62, 111.94, 3597.95]",Table,['Default']
549404,MainField,Cave__Well_0049_GroupSet_000 ,0x58b5af39ccfea8c3,Enemy_Chuchu_Middle,Cave13,,0,,1,,,"[3393.21, 209.81, 2081.09]",Table,['Default']
551976,MainField,LargeDungeon__LargeDungeonWater_AllinArea ,0xede0a9cbf336c004,Enemy_Chuchu_Middle,Sky34,,0,,0,,,"[3339.64, 1848.4, -706.51]",Table,['Default']
551978,MainField,LargeDungeon__LargeDungeonWater_AllinArea ,0x30459ae6cd848fba,Enemy_Chuchu_Middle,Sky34,,0,,0,,,"[3260.43, 1884.9, -745.78]",Table,['Default']
551980,MainField,LargeDungeon__LargeDungeonWater_AllinArea ,0xff7a08a5be38f1e5,Enemy_Chuchu_Middle,Sky34,,0,,0,,,"[3528.48, 1897.9, -741.72]",Table,['Default']
551982,MainField,LargeDungeon__LargeDungeonWater_AllinArea ,0x1939dfb09aef7bb6,Enemy_Chuchu_Middle,Sky34,,0,,0,,,"[3474.18, 1897.9, -749.09]",Table,['Default']
381278,MinusField,E-4,0x2e6fbf928bc58586,Enemy_Chuchu_Middle,Depths79,,0,,0,,,"[-248.18, -1119.46, -652]",Table,['Default']
381281,MinusField,E-4,0x6a8155cb7a8beb74,Enemy_Chuchu_Middle,Depths79,,0,,0,,,"[-254.79, -1089.21, -585.76]",Table,['Default']
381282,MinusField,E-4,0x4c09c792d1660ba1,Enemy_Chuchu_Middle,Depths79,,0,,0,,,"[-243.79, -1089.38, -586.07]",Table,['Default']
