objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
16629,MainField,B-1,0xa7b4654b3919acea,Enemy_Giant_Middle,Surface5,Rospro Pass,0,['GiantGreave_Iron_L'],1,,,"[-3654.67, 335.72, -3806.21]",Table,['Default']
69214,MainField,C-6,0xda0825db4aa31466,Enemy_Giant_Middle,Surface77,Hyrule Field,0,['GiantGreave_Wood_R'],1,,,"[-2014.25, 207.11, 1200.44]",Table,['Default']
131305,MainField,E-8,0x7ece417af4f0dceb,Enemy_Giant_Middle,Surface25,Popla Foothills,0,['GiantGreave_Wood_R'],1,,,"[-806.52, 224.73, 3019.35]",Table,['Default']
198467,MainField,G-7,0xced7ba182e4fe731,Enemy_Giant_Middle,Surface49,Sahasra Slope,0,['GiantGreave_Wood_L'],1,,,"[1272.53, 355.25, 2174.81]",Table,['Default']
252714,MainField,I-4,0x1aabb72078a5a029,Enemy_Giant_Middle,Surface34,Upland Zorana,0,['GiantGreave_Wood_L'],1,,,"[3401.31, 353.35, -271.14]",Table,['Default']
265046,MainField,I-7,0x1dbb1e0745f2662f,Enemy_Giant_Middle,Surface13,Mount Lanayru,0,"['GiantGreave_Wood_L', 'GiantGreave_Wood_R']",1,,,"[3160.15, 211.08, 2596.12]",Table,['Default']
521824,MainField,Cave__Cave_Akkala_0003_GroupSet_000 ,0x17d4d8667401c605,Enemy_Giant_Middle,Cave56,,0,['GiantGreave_Iron_L'],0,,,"[4434.72, 216.88, -739.96]",Table,['Default']
535722,MainField,Cave__Cave_HateruEast_0006_GroupSet_000 ,0xb28c5f44149a0dd8,Enemy_Giant_Middle,Cave59,,0,['GiantGreave_Iron_R'],1,,,"[1651.96, 261.06, 2910.67]",Table,['Default']
296819,MinusField,A-8,0xd9412bf0d7ab6bb0,Enemy_Giant_Middle,Depths21,,0,"['GiantGreave_Iron_L', 'GiantGreave_Wood_R']",1,,,"[-4324.58, -371.81, 3465.07]",Table,['Minus']
331145,MinusField,C-3,0xef8d3687413a37d5,Enemy_Giant_Middle,Depths81,,0,"['GiantGreave_Wood_L', 'GiantGreave_Wood_R']",1,,,"[-2735.93, -503.75, -1334.03]",Table,['Minus']
431570,MinusField,G-4,0x4d612cf3612a421c,Enemy_Giant_Middle,Depths17,,0,['GiantGreave_Wood_L'],1,,,"[1305.27, -374.54, -910.26]",Table,['Minus']
440951,MinusField,G-7,0x556c9c3647378dac,Enemy_Giant_Middle,Depths102,,0,['GiantGreave_Iron_L'],1,,,"[1562.2, -535.46, 2416.01]",Table,['Minus']
440955,MinusField,G-7,0x12633133c1e49c91,Enemy_Giant_Middle,Depths29,,0,"['GiantGreave_Iron_L', 'GiantGreave_Wood_R']",1,,,"[1098.12, -411.38, 2872.43]",Table,['Minus']
440973,MinusField,G-7,0xcf658e3f2dfb8ff0,Enemy_Giant_Middle,Depths102,,0,"['GiantGreave_Wood_L', 'GiantGreave_Wood_R']",1,,,"[1213.43, -488.15, 2671.66]",Table,['Minus']
444343,MinusField,G-8,0xc998fd5a3e19c206,Enemy_Giant_Middle,Depths59,,0,['GiantGreave_Wood_L'],1,,,"[1651.96, -602.49, 2910.67]",Table,['Minus']
