objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
168706,MainField,G-1,0xb0113ea982cad0f5,Enemy_Golem_Little_Fire,Surface105,Eldin Canyon,0,,0,,,"[1703.69, 506.93, -3124.66]",Table,['Default']
168707,MainField,G-1,0xb0113ea99309a237,Enemy_Golem_Little_Fire,Surface105,Eldin Canyon,0,,0,,,"[1558.81, 505.9, -3206.11]",Table,['Default']
168708,MainField,G-1,0xb0113ea91a3efcab,Enemy_Golem_Little_Fire,Surface105,Eldin Canyon,0,,0,,,"[1406.51, 506.97, -3167.34]",Table,['Default']
168709,MainField,G-1,0xb0113ea9ecfb5ab5,Enemy_Golem_Little_Fire,Surface105,Eldin Canyon,0,,0,,,"[1394.72, 508.47, -3174.24]",Table,['Default']
168710,MainField,G-1,0xb0113ea9200b2a58,Enemy_Golem_Little_Fire,Surface105,Eldin Canyon,0,,0,,,"[1394.35, 508, -3169.59]",Table,['Default']
168712,MainField,G-1,0xb0113ea9da19f83f,Enemy_Golem_Little_Fire,Surface105,Eldin Canyon,0,,0,,,"[1564.89, 506.58, -3199.41]",Table,['Default']
168713,MainField,G-1,0xb0113ea9f30522a4,Enemy_Golem_Little_Fire,Surface105,Eldin Canyon,0,,0,,,"[1483.75, 505.65, -3235.16]",Table,['Default']
168715,MainField,G-1,0x7c6d0a88c229d0c7,Enemy_Golem_Little_Fire,Surface7,Thyphlo Ruins,0,,0,,,"[1563.18, 380.01, -3475.2]",Table,['Default']
168716,MainField,G-1,0xa894d45c4b1e32d5,Enemy_Golem_Little_Fire,Surface7,Thyphlo Ruins,0,,0,,,"[1559.77, 379.46, -3481.21]",Table,['Default']
168717,MainField,G-1,0xb0113ea9f14f3668,Enemy_Golem_Little_Fire,Surface105,Eldin Canyon,0,,0,,,"[1718.66, 545.76, -3205.84]",Table,['Default']
168718,MainField,G-1,0xb0113ea9902d4ef9,Enemy_Golem_Little_Fire,Surface105,Eldin Canyon,0,,0,,,"[1729.46, 546.38, -3209.2]",Table,['Default']
