objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
522092,MainField,Cave__Cave_Akkala_0010_GroupSet_000 ,0x7606b3fac2594055,Enemy_Horablin_Middle,Cave2,,0,['Weapon_Spear_108'],1,,,"[3300.93, 400.52, -1557.85]",Table,['Default']
522558,MainField,Cave__Cave_Akkala_0014_GroupSet_000 ,0x49ee6658db289f07,Enemy_Horablin_Middle,Cave54,,0,"['Weapon_Spear_108', 'AsbObj_RockParts_C_S_01']",1,,,"[4618.54, 77.08, -3359.23]",Table,['Default']
525414,MainField,Cave__Cave_Eldin_0025_GroupSet_000 ,0x5238aeb5eb7d9ad0,Enemy_Horablin_Middle,Cave66,,1,['Weapon_Spear_106'],1,,,"[1396.99, 387.64, -2133.11]",Table,['Default']
526192,MainField,Cave__Cave_Eldin_0031_GroupSet_000 ,0x87a2a615f6c25817,Enemy_Horablin_Middle,Cave7,,0,"['Weapon_Spear_112', 'Weapon_Lsword_020']",1,,,"[2424.51, 245.1, -1842.98]",Table,['Default']
526327,MainField,Cave__Cave_Eldin_0033_GroupSet_000 ,0x4f1ce97076dfb473,Enemy_Horablin_Middle,Cave67,,1,"['Weapon_Spear_106', 'Weapon_Lsword_020']",1,,,"[1807.09, 490.98, -2903.86]",Table,['Default']
526474,MainField,Cave__Cave_Eldin_0034_GroupSet_000 ,0x398176e67e9029f6,Enemy_Horablin_Middle,Cave67,,1,"['Weapon_Spear_106', 'Weapon_Lsword_020']",1,,,"[1669.49, 496.38, -2775.06]",Table,['Default']
526642,MainField,Cave__Cave_Eldin_0035_GroupSet_000 ,0x499593531bf37554,Enemy_Horablin_Middle,Cave66,,1,['Weapon_Spear_112'],1,,,"[2072.15, 538.71, -2664.59]",Table,['Default']
527443,MainField,Cave__Cave_Firone_0016_GroupSet_000 ,0x7b0188b3dba67a90,Enemy_Horablin_Middle,Cave25,,1,"['Weapon_Spear_103', 'Weapon_Lsword_020']",1,,,"[-198.17, 96.5, 3040.82]",Table,['Default']
531899,MainField,Cave__Cave_GerudoDesert_0041_GroupSet_000 ,0xd48894e024db406f,Enemy_Horablin_Middle,Cave73,,0,['Weapon_Spear_108'],1,,,"[-2242.2, 175.57, 1814.43]",Table,['Default']
534851,MainField,Cave__Cave_HateruEast_0000_GroupSet_000 ,0x7eeb8fe42e42d65c,Enemy_Horablin_Middle,Cave13,,1,"['Weapon_Spear_106', 'Weapon_Lsword_020']",1,,,"[3243, 159.98, 3070.24]",Table,['Default']
537125,MainField,Cave__Cave_HateruWest_0002_GroupSet_000 ,0xba991cf2c1864a88,Enemy_Horablin_Middle,Cave19,,0,"['Weapon_Spear_106', 'Weapon_Lsword_020']",1,,,"[1556.03, 129.53, 1145.31]",Table,['Default']
537264,MainField,Cave__Cave_HateruWest_0008_GroupSet_000 ,0xdca30271b6d7c90a,Enemy_Horablin_Middle,Cave1,,1,['Weapon_Lsword_106'],0,,,"[1379.59, 249.67, 1141.12]",Table,['Default']
537352,MainField,Cave__Cave_HateruWest_0011_GroupSet_000 ,0xb9698c6bdd35c73c,Enemy_Horablin_Middle,Cave1,,0,['Weapon_Spear_106'],1,,,"[1235.15, 265.4, 1801.75]",Table,['Default']
537796,MainField,Cave__Cave_Hebra_0015_GroupSet_000 ,0x18869e8b8eea69e7,Enemy_Horablin_Middle,Cave3,,1,"['Weapon_Spear_108', 'AsbObj_Icicle_A_01']",1,,,"[-3930.21, 100.18, -2870.05]",Table,['Default']
538041,MainField,Cave__Cave_Hebra_0019_GroupSet_000 ,0x73728ec2e3f42163,Enemy_Horablin_Middle,Cave3,,0,"['Weapon_Spear_106', 'Weapon_Lsword_020']",1,,,"[-2479.64, 476.18, -3211.85]",Table,['Default']
538569,MainField,Cave__Cave_Hebra_0023_GroupSet_000 ,0x767d870cd68c858e,Enemy_Horablin_Middle,Cave94,,1,"['Weapon_Spear_112', 'AsbObj_RockParts_C_S_01']",1,,,"[-3021.74, 282.76, -1541.93]",Table,['Default']
539077,MainField,Cave__Cave_Hebra_0035_GroupSet_000 ,0x4626cfce02de8472,Enemy_Horablin_Middle,Cave94,,1,['Weapon_Spear_106'],1,,,"[-2941.77, 360.47, -1814.91]",Table,['Default']
539699,MainField,Cave__Cave_HyruleForest_0001_GroupSet_000 ,0x2119b448c140c80d,Enemy_Horablin_Middle,Cave60,,1,['Weapon_Spear_112'],1,,,"[781.57, 163.84, -1346]",Table,['Default']
540107,MainField,Cave__Cave_HyruleForest_0008_GroupSet_000 ,0x2533d9aef22a52d7,Enemy_Horablin_Middle,Cave15,,1,['Weapon_Spear_108'],1,,,"[366.82, 183.08, -3532.77]",Table,['Default']
540108,MainField,Cave__Cave_HyruleForest_0008_GroupSet_000 ,0x30efabaa8dd798f3,Enemy_Horablin_Middle,Cave15,,0,"['Weapon_Spear_103', 'Weapon_Spear_021']",1,,,"[386.45, 185.12, -3527.49]",Table,['Default']
540112,MainField,Cave__Cave_HyruleForest_0008_GroupSet_000 ,0xebf73c12b6ae1289,Enemy_Horablin_Middle,Cave15,,0,"['Weapon_Spear_108', 'AsbObj_RockParts_C_S_01']",1,,,"[338.06, 180.59, -3463.3]",Table,['Default']
541336,MainField,Cave__Cave_HyruleRidge_0008_GroupSet_000 ,0xe82b7050115aa2b4,Enemy_Horablin_Middle,Cave64,,1,"['Weapon_Spear_106', 'Weapon_Lsword_020']",1,,,"[-2236.18, 396.85, 344.77]",Table,['Default']
542643,MainField,Cave__Cave_LanayruMountain_0014_GroupSet_000 ,0xfbf3a3c332ef8850,Enemy_Horablin_Middle,Cave13,,0,['Weapon_Spear_112'],1,,,"[2414.42, 129.75, 1464.83]",Table,['Default']
542644,MainField,Cave__Cave_LanayruMountain_0014_GroupSet_000 ,0xbdbc144a3cb2119d,Enemy_Horablin_Middle,Cave13,,1,['Weapon_Spear_106'],1,,,"[2379.45, 110.2, 1406.93]",Table,['Default']
543542,MainField,Cave__Cave_LanayruMountain_0026_GroupSet_000 ,0x3c838c55d41b087e,Enemy_Horablin_Middle,Cave13,,0,"['Weapon_Spear_112', 'Weapon_Lsword_020']",1,,,"[2343.69, 138.13, 1628.4]",Table,['Default']
543753,MainField,Cave__Cave_Lanayru_0006_Group_Set_001 ,0x7f509b0eaa14eeb4,Enemy_Horablin_Middle,Cave41,,1,"['Weapon_Spear_112', 'Item_RoastFish_01']",1,,,"[1299.06, 147.4, -281.41]",Table,['Default']
544220,MainField,Cave__Cave_Lanayru_0024_GroupSet_000 ,0xb2e8346547bf3f03,Enemy_Horablin_Middle,Cave69,,1,"['Weapon_Spear_108', 'Weapon_Lsword_020']",1,,,"[2220.41, 151.36, -109.36]",Table,['Default']
