objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
39322,MainField,B-7,0xd64c5bd14020214e,Enemy_Keese_Electric_AllDay,Surface72,Gerudo Canyon,0,,0,,,"[-3685.58, 153.08, 2766.3]",Table,['Default']
39381,MainField,B-7,0x003622f5bd9fd470,Enemy_Keese_Electric,Surface72,Gerudo Canyon,0,,0,,,"[-3695.29, 161.78, 2603.84]",Table,['Default']
110549,MainField,E-4,0x18670a881b3b6836,Enemy_Keese_Electric_AllDay,Surface76,Lookout Landing,0,,0,,,"[-253.9, 82.79, -376.68]",Table,['Default']
195710,MainField,G-7,0x34aabe121cab59a2,Enemy_Keese_Electric_AllDay,Surface104,Rabella Wetlands,0,,0,,,"[1764.76, 389.13, 2808.46]",Table,['Default']
195711,MainField,G-7,0x34aabe1201625de9,Enemy_Keese_Electric_AllDay,Surface104,Rabella Wetlands,0,,0,,,"[1771.11, 390.68, 2805.98]",Table,['Default']
195712,MainField,G-7,0x34aabe12f1fa97c3,Enemy_Keese_Electric_AllDay,Surface104,Rabella Wetlands,0,,0,,,"[1773.67, 388.95, 2807.75]",Table,['Default']
498391,MainField,Sky__Map_SKy_Firone_SmallZonauRuins_Island_B_00 ,0x171530ab4889b7de,Enemy_Keese_Electric_AllDay,Sky105,,0,,0,,,"[1024.93, 806.93, 3253.63]",Table,['Default']
498395,MainField,Sky__Map_SKy_Firone_SmallZonauRuins_Island_B_00 ,0xa5d0b831447ac3c5,Enemy_Keese_Electric,Sky105,,0,,0,,,"[1171.91, 875.52, 3415.76]",Table,['Default']
522413,MainField,Cave__Cave_Akkala_0014_GroupSet_000 ,0x5524ad17df2d1267,Enemy_Keese_Electric_AllDay,Cave20,,0,,0,,,"[4602.53, 96.24, -3255.47]",Table,['Default']
522414,MainField,Cave__Cave_Akkala_0014_GroupSet_000 ,0x83375ae9a1d9547a,Enemy_Keese_Electric_AllDay,Cave20,,0,,0,,,"[4598.09, 97.91, -3248.77]",Table,['Default']
523750,MainField,Cave__Cave_CentralHyrule_0021_GroupSet_000 ,0x2e88cefa79483409,Enemy_Keese_Electric_AllDay,Cave32,,0,,0,,,"[-112.51, 104.97, 1082.9]",Table,['Default']
523751,MainField,Cave__Cave_CentralHyrule_0021_GroupSet_000 ,0xc1330cc43215b8a6,Enemy_Keese_Electric_AllDay,Cave32,,0,,0,,,"[-115.26, 104.51, 1083.47]",Table,['Default']
530222,MainField,Cave__Cave_GerudoDesert_0031_GroupSet_000 ,0xd051804a6961afa8,Enemy_Keese_Electric_AllDay,Cave72,,0,,0,,,"[-2653.26, 57.97, 2792.14]",Table,['Default']
530227,MainField,Cave__Cave_GerudoDesert_0031_GroupSet_000 ,0x5b9b9b9fc5525364,Enemy_Keese_Electric_AllDay,Cave72,,0,,0,,,"[-2728.24, 58.75, 2814.59]",Table,['Default']
531974,MainField,Cave__Cave_GerudoDesert_0044_GroupSet_000 ,0x2f0b6220004f514e,Enemy_Keese_Electric_AllDay,Cave21,,0,,0,,,"[-2527.31, 70.78, 3748.83]",Table,['Default']
531975,MainField,Cave__Cave_GerudoDesert_0044_GroupSet_000 ,0x198f7b5beb60e4c0,Enemy_Keese_Electric_AllDay,Cave21,,0,,0,,,"[-2513.99, 70.89, 3748.85]",Table,['Default']
531976,MainField,Cave__Cave_GerudoDesert_0044_GroupSet_000 ,0x6d4989ff9951b850,Enemy_Keese_Electric_AllDay,Cave21,,0,,0,,,"[-2516.84, 70.73, 3708.01]",Table,['Default']
531977,MainField,Cave__Cave_GerudoDesert_0044_GroupSet_000 ,0x22d033851eddfd57,Enemy_Keese_Electric_AllDay,Cave21,,0,,0,,,"[-2529.39, 70.74, 3712.21]",Table,['Default']
551088,MainField,LargeDungeon__LargeDungeonThunder ,0x2f27b3f8bc36d94c,Enemy_Keese_Electric_AllDay,Surface40,Gerudo Canyon,0,,0,,,"[-4546.88, 88.31, 3597.01]",Table,['Default']
285505,MinusField,A-3,0x8b707214e1240778,Enemy_Keese_Electric_AllDay,Depths42,,0,,1,,,"[-3995.04, -502.89, -1747.1]",Table,['Minus']
285508,MinusField,A-3,0x9738f656e90bc0bf,Enemy_Keese_Electric_AllDay,Depths42,,0,,1,,,"[-3987.56, -504.34, -1738.24]",Table,['Minus']
286007,MinusField,A-4,0x9143b790a4e2e598,Enemy_Keese_Electric_AllDay,Depths100,,0,,1,,,"[-4036.69, -465.47, -580.81]",Table,['Minus']
286010,MinusField,A-4,0xe98f3da6af14eedc,Enemy_Keese_Electric_AllDay,Depths100,,0,,1,,,"[-4027.23, -466.92, -574.1]",Table,['Minus']
294356,MinusField,A-7,0x3cb9a8a456c54356,Enemy_Keese_Electric_AllDay,Depths21,,0,,1,,,"[-4653.92, -368.57, 2405.84]",Table,['Minus']
294359,MinusField,A-7,0x22e1b7b253fa0489,Enemy_Keese_Electric_AllDay,Depths21,,0,,1,,,"[-4662.38, -370.03, 2397.92]",Table,['Minus']
294367,MinusField,A-7,0xa68735de48140e3e,Enemy_Keese_Electric_AllDay,Depths21,,0,,1,,,"[-4339.31, -387.8, 2188.7]",Table,['Minus']
294370,MinusField,A-7,0x88d3304c37227771,Enemy_Keese_Electric_AllDay,Depths21,,0,,1,,,"[-4348.69, -389.25, 2195.53]",Table,['Minus']
296922,MinusField,A-8,0x888b4c7bf6280470,Enemy_Keese_Electric_AllDay,Depths21,,0,,1,,,"[-4553.54, -375.19, 3160.03]",Table,['Minus']
296925,MinusField,A-8,0x9e3f0b8f081e5b3d,Enemy_Keese_Electric_AllDay,Depths21,,0,,1,,,"[-4543, -376.64, 3155.19]",Table,['Minus']
296933,MinusField,A-8,0xa019879fc3f7c49a,Enemy_Keese_Electric_AllDay,Depths40,,0,,1,,,"[-4683.05, -370.65, 3814.67]",Table,['Minus']
296936,MinusField,A-8,0x8ad1ff83cec61b69,Enemy_Keese_Electric_AllDay,Depths40,,0,,1,,,"[-4688.39, -372.1, 3804.37]",Table,['Minus']
302668,MinusField,B-2,0x2f421535b37fd131,Enemy_Keese_Electric_AllDay,Depths3,,0,,1,,,"[-3362.85, -755.4, -2627.75]",Table,['Minus']
302671,MinusField,B-2,0x337ed81dbe2c0a74,Enemy_Keese_Electric_AllDay,Depths3,,0,,1,,,"[-3356.26, -756.85, -2618.2]",Table,['Minus']
309016,MinusField,B-4,0x110ce52ea4c06e9f,Enemy_Keese_Electric_AllDay,Depths63,,0,,1,,,"[-2964.22, -506.49, -575.29]",Table,['Minus']
309019,MinusField,B-4,0x69c47850a05a7454,Enemy_Keese_Electric_AllDay,Depths63,,0,,1,,,"[-2966.97, -507.94, -564.03]",Table,['Minus']
309040,MinusField,B-4,0x7e769caa2d69d308,Enemy_Keese_Electric_AllDay,Depths27,,0,,1,,,"[-3069.92, -550.86, -52.33]",Table,['Minus']
309043,MinusField,B-4,0x4c2250b411b41454,Enemy_Keese_Electric_AllDay,Depths27,,0,,1,,,"[-3059.72, -552.4, -57.84]",Table,['Minus']
323386,MinusField,B-8,0x7c6f4aeb320c8f36,Enemy_Keese_Electric_AllDay,Depths21,,0,,1,,,"[-3220.24, -357.89, 3471.97]",Table,['Minus']
323389,MinusField,B-8,0x6abb899f3ef2b7f1,Enemy_Keese_Electric_AllDay,Depths21,,0,,1,,,"[-3225.89, -359.34, 3482.09]",Table,['Minus']
323410,MinusField,B-8,0xecc958b5a0f35afe,Enemy_Keese_Electric_AllDay,Depths21,,0,,1,,,"[-2995.34, -361.56, 3536.82]",Table,['Minus']
323413,MinusField,B-8,0xc69115a1a5ba2c36,Enemy_Keese_Electric_AllDay,Depths21,,0,,1,,,"[-3004.49, -363.01, 3529.68]",Table,['Minus']
331316,MinusField,C-3,0x5fadf714d4b900ad,Enemy_Keese_Electric_AllDay,Depths81,,0,,1,,,"[-2226.12, -552.22, -1397.51]",Table,['Minus']
331319,MinusField,C-3,0xb3656906a6cffa67,Enemy_Keese_Electric_AllDay,Depths81,,0,,1,,,"[-2215.22, -553.67, -1401.47]",Table,['Minus']
338248,MinusField,C-5,0x7ca764e4ccb3f214,Enemy_Keese_Electric_AllDay,Depths64,,0,,1,,,"[-2436.53, -549.72, 438.38]",Table,['Minus']
338251,MinusField,C-5,0x4e63ef12cbcaeb50,Enemy_Keese_Electric_AllDay,Depths64,,0,,1,,,"[-2444.93, -551.18, 430.38]",Table,['Minus']
344026,MinusField,C-7,0xe667c88696daf63e,Enemy_Keese_Electric_AllDay,Depths73,,0,,1,,,"[-2726.42, -489.62, 2474.34]",Table,['Minus']
344029,MinusField,C-7,0xd43b75948b2bff67,Enemy_Keese_Electric_AllDay,Depths73,,0,,1,,,"[-2723.28, -490.71, 2485.55]",Table,['Minus']
344037,MinusField,C-7,0x9a1f858f20ea6df6,Enemy_Keese_Electric_AllDay,Depths73,,0,,1,,,"[-2236.06, -601.1, 2575.22]",Table,['Minus']
344040,MinusField,C-7,0xe04b43b32f10610e,Enemy_Keese_Electric_AllDay,Depths73,,0,,1,,,"[-2238.21, -602.55, 2586.62]",Table,['Minus']
344048,MinusField,C-7,0xb0626595351d3240,Enemy_Keese_Electric_AllDay,Depths73,,0,,1,,,"[-2037.55, -483.4, 2558.07]",Table,['Minus']
344051,MinusField,C-7,0xae26eba94a0fb383,Enemy_Keese_Electric_AllDay,Depths73,,0,,1,,,"[-2036.06, -484.85, 2546.57]",Table,['Minus']
353232,MinusField,D-2,0x7396a87ae038fcb9,Enemy_Keese_Electric_AllDay,Depths5,,0,,1,,,"[-1739.79, -574.92, -2756.43]",Table,['Minus']
353235,MinusField,D-2,0x5fcaadf09d02e27c,Enemy_Keese_Electric_AllDay,Depths5,,0,,1,,,"[-1751.29, -576.37, -2757.85]",Table,['Minus']
356977,MinusField,D-3,0x642412656893be87,Enemy_Keese_Electric_AllDay,Depths26,,0,,1,,,"[-1134.85, -446.98, -1133.39]",Table,['Minus']
356980,MinusField,D-3,0x5efc31f56eba244c,Enemy_Keese_Electric_AllDay,Depths26,,0,,1,,,"[-1136.45, -448.43, -1121.91]",Table,['Minus']
360297,MinusField,D-4,0xc3f1585b7b9fcc73,Enemy_Keese_Electric_AllDay,Depths63,,0,,1,,,"[-1834.17, -490.71, -658.32]",Table,['Minus']
360300,MinusField,D-4,0x2fc8e72764ec37b4,Enemy_Keese_Electric_AllDay,Depths63,,0,,1,,,"[-1838.3, -492.16, -647.48]",Table,['Minus']
360336,MinusField,D-4,0x7f8d9baf39bf47b5,Enemy_Keese_Electric_AllDay,Depths82,,0,,1,,,"[-1263.27, -420.41, -631.11]",Table,['Minus']
360339,MinusField,D-4,0x4b4553bb25e81f4a,Enemy_Keese_Electric_AllDay,Depths82,,0,,1,,,"[-1272.01, -421.86, -623.49]",Table,['Minus']
360347,MinusField,D-4,0xb665971544dd4c24,Enemy_Keese_Electric_AllDay,Depths6,,0,,1,,,"[-1251.34, -372.74, 22.14]",Table,['Minus']
360350,MinusField,D-4,0x88addc0141a089e0,Enemy_Keese_Electric_AllDay,Depths6,,0,,1,,,"[-1246.5, -374.19, 32.68]",Table,['Minus']
363830,MinusField,D-5,0x090650e575836392,Enemy_Keese_Electric_AllDay,Depths77,,0,,1,,,"[-1840.75, -476.41, 965.51]",Table,['Minus']
363833,MinusField,D-5,0x61ca158d70957b73,Enemy_Keese_Electric_AllDay,Depths77,,0,,1,,,"[-1829.21, -477.86, 964.4]",Table,['Minus']
366899,MinusField,D-6,0xd8b9e593ba41de94,Enemy_Keese_Electric_AllDay,Depths4,,0,,1,,,"[-1891.45, -489.52, 1851.41]",Table,['Minus']
366902,MinusField,D-6,0x26c26ebfb13e99db,Enemy_Keese_Electric_AllDay,Depths4,,0,,1,,,"[-1883.16, -490.97, 1843.3]",Table,['Minus']
379730,MinusField,E-3,0x84c1716c2b51afd5,Enemy_Keese_Electric_AllDay,Depths26,,0,,1,,,"[-828.06, -464.17, -1313.89]",Table,['Minus']
379733,MinusField,E-3,0x920aecd22724a7e8,Enemy_Keese_Electric_AllDay,Depths26,,0,,1,,,"[-832.4, -465.63, -1303.14]",Table,['Minus']
379741,MinusField,E-3,0x68ab63e0764717a7,Enemy_Keese_Electric_AllDay,Depths60,,0,,1,,,"[36.52, -485.58, -1560.01]",Table,['Minus']
379744,MinusField,E-3,0x5edfe07a7ab648ff,Enemy_Keese_Electric_AllDay,Depths60,,0,,1,,,"[27.68, -487.03, -1552.5]",Table,['Minus']
381263,MinusField,E-4,0x8d5e7d2b121d0b41,Enemy_Keese_Electric_AllDay,Depths79,,0,,0,,,"[-234.72, -974.36, -854.68]",Table,['Minus']
381264,MinusField,E-4,0x949102800e2f8bf2,Enemy_Keese_Electric_AllDay,Depths79,,0,,0,,,"[-259.17, -974.65, -858.38]",Table,['Minus']
381265,MinusField,E-4,0x77f2d1e5a82683b3,Enemy_Keese_Electric_AllDay,Depths79,,0,,0,,,"[-239.82, -970.38, -843.81]",Table,['Minus']
381266,MinusField,E-4,0x43fb3ce9aeb517f7,Enemy_Keese_Electric_AllDay,Depths79,,0,,0,,,"[-258.82, -968.97, -844.49]",Table,['Minus']
381267,MinusField,E-4,0xc4108dbea9cc4fc7,Enemy_Keese_Electric_AllDay,Depths79,,0,,0,,,"[-250.83, -968.39, -843.94]",Table,['Minus']
412635,MinusField,F-5,0xc746d11afb3afc46,Enemy_Keese_Electric_AllDay,Depths32,,0,,1,,,"[542.34, -393.29, 385.3]",Table,['Minus']
412638,MinusField,F-5,0xd31a9627e000f18e,Enemy_Keese_Electric_AllDay,Depths32,,0,,1,,,"[540.16, -394.75, 396.69]",Table,['Minus']
416481,MinusField,F-6,0xf6a4300e3d6e07d5,Enemy_Keese_Electric_AllDay,Depths49,,0,,1,,,"[507.56, -350.27, 1655.12]",Table,['Minus']
416484,MinusField,F-6,0xe8e4b518385c4f0f,Enemy_Keese_Electric_AllDay,Depths49,,0,,1,,,"[497.61, -351.72, 1661.06]",Table,['Minus']
423737,MinusField,F-8,0xa87628c7990f85f3,Enemy_Keese_Electric_AllDay,Depths59,,0,,1,,,"[1003.51, -401.58, 3083.92]",Table,['Minus']
423740,MinusField,F-8,0x92822f3be61dc10b,Enemy_Keese_Electric_AllDay,Depths59,,0,,1,,,"[1002.32, -403.03, 3072.38]",Table,['Minus']
433933,MinusField,G-5,0xfc1ee29fa02dbf00,Enemy_Keese_Electric_AllDay,Depths65,,0,,1,,,"[1244.34, -350.7, 413.23]",Table,['Minus']
433936,MinusField,G-5,0xca527eb3ab133645,Enemy_Keese_Electric_AllDay,Depths65,,0,,1,,,"[1255.77, -352.15, 411.3]",Table,['Minus']
441130,MinusField,G-7,0x311850245628948a,Enemy_Keese_Electric_AllDay,Depths102,,0,,1,,,"[1835.44, -663.2, 2767.34]",Table,['Minus']
441133,MinusField,G-7,0x19b097325bddca39,Enemy_Keese_Electric_AllDay,Depths102,,0,,1,,,"[1831.21, -664.65, 2756.54]",Table,['Minus']
444559,MinusField,G-8,0xf1e7f2bf06432673,Enemy_Keese_Electric_AllDay,Depths59,,0,,1,,,"[1342.74, -445.09, 3436.95]",Table,['Minus']
444562,MinusField,G-8,0xe9b36bca0d6abd52,Enemy_Keese_Electric_AllDay,Depths59,,0,,1,,,"[1336.86, -446.54, 3446.94]",Table,['Minus']
444605,MinusField,G-8,0x8a9e3554ec555771,Enemy_Keese_Electric_AllDay,Depths59,,0,,1,,,"[1943.19, -463.5, 3707.36]",Table,['Minus']
444608,MinusField,G-8,0xe04a10aaee430e52,Enemy_Keese_Electric_AllDay,Depths59,,0,,1,,,"[1937.09, -464.95, 3717.22]",Table,['Minus']
476236,MinusField,I-4,0x1f34b57cbd944393,Enemy_Keese_Electric_AllDay,Depths34,,0,,1,,,"[3976.96, -584.21, -196.55]",Table,['Minus']
476239,MinusField,I-4,0x6b4c2ed6c0eb0aeb,Enemy_Keese_Electric_AllDay,Depths34,,0,,1,,,"[3988.14, -585.66, -193.47]",Table,['Minus']
479153,MinusField,I-5,0xe1c883ccdf3e0f36,Enemy_Keese_Electric_AllDay,Depths68,,0,,1,,,"[3959.99, -369.24, 318.45]",Table,['Minus']
