objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
3483,MainField,A-2,0x5bf5d59cb670f4a2,Enemy_Keese_Ice,Surface107,Rospro Pass,0,,1,,,"[-4414.12, 390.4, -2952.77]",Table,['Default']
3484,MainField,A-2,0x5bf5d59c7b7b6c20,Enemy_Keese_Ice,Surface107,Rospro Pass,0,,1,,,"[-4408.23, 390.4, -2949.97]",Table,['Default']
3485,MainField,A-2,0x5bf5d59cab48b675,Enemy_Keese_Ice,Surface107,Rospro Pass,0,,1,,,"[-4416.19, 394.4, -2928.03]",Table,['Default']
3486,MainField,A-2,0x5bf5d59c1ca6b0f9,Enemy_Keese_Ice,Surface107,Rospro Pass,0,,1,,,"[-4410.06, 394.4, -2925.66]",Table,['Default']
5117,MainField,A-5,0xbd237c6f24463c88,Enemy_Keese_Ice_AllDay,Surface0,Gerudo Highlands,0,,0,,,"[-4567.49, 630.84, 723.71]",Table,['Default']
5118,MainField,A-5,0xcae57dbf6390a3da,Enemy_Keese_Ice_AllDay,Surface0,Gerudo Highlands,0,,0,,,"[-4572.03, 632.37, 731.21]",Table,['Default']
18127,MainField,B-2,0x5ef363663c80e99c,Enemy_Keese_Ice_AllDay,Surface3,Rospro Pass,0,,0,,,"[-3436, 359.25, -2401.5]",Table,['Default']
18218,MainField,B-2,0xd9f30cfa87fa8906,Enemy_Keese_Ice_AllDay,Surface3,Rospro Pass,0,,0,,,"[-3431.71, 362.15, -2407.79]",Table,['Default']
49811,MainField,C-2,0x91394c4ab1b5d76d,Enemy_Keese_Ice_AllDay,Surface3,Rospro Pass,0,,0,,,"[-3000.89, 548.6, -2700.42]",Table,['Default']
49812,MainField,C-2,0x91394c4aaf0b3937,Enemy_Keese_Ice_AllDay,Surface3,Rospro Pass,0,,0,,,"[-3002.2, 548.61, -2699.77]",Table,['Default']
49813,MainField,C-2,0x91394c4a00e5779e,Enemy_Keese_Ice_AllDay,Surface3,Rospro Pass,0,,0,,,"[-3009.32, 545.86, -2703.48]",Table,['Default']
49814,MainField,C-2,0x91394c4a461ae993,Enemy_Keese_Ice_AllDay,Surface3,Rospro Pass,0,,0,,,"[-3010.24, 546.61, -2702.36]",Table,['Default']
67620,MainField,C-6,0x8f34d92f61ac25d8,Enemy_Keese_Ice_AllDay,Surface0,Gerudo Highlands,0,,0,,,"[-2864.96, 586.99, 1409.85]",Table,['Default']
67621,MainField,C-6,0x933012c509ea6e10,Enemy_Keese_Ice_AllDay,Surface0,Gerudo Highlands,0,,0,,,"[-2872.59, 587.26, 1407.11]",Table,['Default']
93001,MainField,D-6,0xf6e1568e809d4a25,Enemy_Keese_Ice,Surface47,Hyrule Field,0,,0,,,"[-1365.24, 258.7, 1919.01]",Table,['Default']
97453,MainField,D-7,0xf6e1568e6ce1262c,Enemy_Keese_Ice,Surface47,Hyrule Field,0,,0,,,"[-1369.5, 281, 2020.5]",Table,['Default']
97465,MainField,D-7,0xf6e1568e365ed6e9,Enemy_Keese_Ice,Surface47,Hyrule Field,0,,0,,,"[-1201, 355, 2194.5]",Table,['Default']
97466,MainField,D-7,0xf6e1568e7b263f0b,Enemy_Keese_Ice,Surface47,Hyrule Field,0,,0,,,"[-1146.5, 328.22, 2150.5]",Table,['Default']
537807,MainField,Cave__Cave_Hebra_0016_GroupSet_000 ,0x31380b9bfb676547,Enemy_Keese_Ice_AllDay,Cave48,,0,,0,,,"[-2920.47, 514.97, -2552.29]",Table,['Default']
