objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
288532,MinusField,A-5,0x90b6cd3a2ae6e7b9,Enemy_Lizalfos_Dark,Depths4,,0,['Weapon_Spear_113'],1,,,"[-4912.67, -818.57, 369.4]",Table,['Minus']
288545,MinusField,A-5,0x02a97159659d5e7f,Enemy_Lizalfos_Dark,Depths4,,0,['Weapon_Spear_113'],1,,,"[-4369.6, -580.45, 131.35]",Table,['Minus']
291742,MinusField,A-6,0x05ddac9f26fd2a8d,Enemy_Lizalfos_Dark,Depths4,,0,['Weapon_Spear_113'],1,,,"[-4175.43, -550.98, 1806.9]",Table,['Minus']
299526,MinusField,B-1,0xee3ceff5ae791c45,Enemy_Lizalfos_Dark,Depths3,,0,['Weapon_Spear_113'],1,,,"[-3176.29, -665.97, -3514.73]",Table,['Minus']
299527,MinusField,B-1,0x9c66c85b52702571,Enemy_Lizalfos_Dark,Depths3,,0,['Weapon_Spear_108'],1,,,"[-3178.28, -676.93, -3503.08]",Table,['Minus']
302614,MinusField,B-2,0xe51f591f3019c5c6,Enemy_Lizalfos_Dark,Depths3,,0,['Weapon_Spear_108'],1,,,"[-3792.05, -484, -2139.01]",Table,['Minus']
302615,MinusField,B-2,0x32f71d6516aa0e89,Enemy_Lizalfos_Dark,Depths3,,0,['Weapon_Spear_124'],1,,,"[-3806.83, -480.15, -2134.59]",Table,['Minus']
316388,MinusField,B-6,0x22effb6fe3a0c041,Enemy_Lizalfos_Dark,Depths0,,0,['Weapon_Spear_108'],1,,,"[-3377.21, -928.62, 1002.4]",Table,['Minus']
316389,MinusField,B-6,0x7fa732554b61ff07,Enemy_Lizalfos_Dark,Depths0,,0,['Weapon_Spear_124'],1,,,"[-3369.32, -924.79, 989.17]",Table,['Minus']
316447,MinusField,B-6,0x96dfd828e642d641,Enemy_Lizalfos_Dark,Depths4,,0,['Weapon_Spear_113'],1,,,"[-3852.28, -649.69, 1762.42]",Table,['Minus']
316465,MinusField,B-6,0x554d249dd4e0adc6,Enemy_Lizalfos_Dark,Depths4,,0,['Weapon_Spear_113'],1,,,"[-3384.74, -677.5, 1766.22]",Table,['Minus']
328142,MinusField,C-2,0x89b24c806158fc0b,Enemy_Lizalfos_Dark,Depths3,,0,['Weapon_Spear_113'],1,,,"[-2590.75, -802.56, -2640.76]",Table,['Minus']
328143,MinusField,C-2,0x826c409bfd23722c,Enemy_Lizalfos_Dark,Depths3,,0,['Weapon_Spear_108'],1,,,"[-2590.67, -813.6, -2628.94]",Table,['Minus']
328166,MinusField,C-2,0x030683237ee73c71,Enemy_Lizalfos_Dark,Depths5,,0,['Weapon_Spear_124'],1,,,"[-1995.95, -583.14, -2637.12]",Table,['Minus']
340926,MinusField,C-6,0x1759aa3a3a2e6752,Enemy_Lizalfos_Dark,Depths4,,0,['Weapon_Spear_124'],1,,,"[-3049, -549.19, 1944.93]",Table,['Minus']
383339,MinusField,E-4,0x0798e40e676b4cca,Enemy_Lizalfos_Dark,Depths79,,0,"['Weapon_Bow_036', 'ElectricalFruit']",1,,,"[-262.61, -1117.24, -628.93]",Table,['Minus_Arrow']
406115,MinusField,F-3,0xcc3e640f419c907f,Enemy_Lizalfos_Dark,Depths41,,1,['Weapon_Spear_108'],1,,,"[765.41, -391.4, -1026.72]",Table,['Minus']
406116,MinusField,F-3,0x1864361aa5d32f3f,Enemy_Lizalfos_Dark,Depths41,,0,['Weapon_Spear_124'],1,,,"[751.71, -387.5, -1019.64]",Table,['Minus']
433918,MinusField,G-5,0x686a9accea1deea3,Enemy_Lizalfos_Dark,Depths65,,0,['Weapon_Spear_108'],1,,,"[1107.71, -358.88, 517.69]",Table,['Minus']
433919,MinusField,G-5,0x54ec50f478dca15a,Enemy_Lizalfos_Dark,Depths65,,1,['Weapon_Spear_113'],1,,,"[1092.31, -355.01, 518.02]",Table,['Minus']
444597,MinusField,G-8,0x8a87e75c7f73a35d,Enemy_Lizalfos_Dark,Depths62,,0,['Weapon_Spear_113'],1,,,"[1508.14, -351.05, 3796.79]",Table,['Minus']
457534,MinusField,H-6,0x9bf8561df8a1132d,Enemy_Lizalfos_Dark,Depths1,,0,"['Weapon_Lsword_174', 'AsbObj_BoneStick_A_01']",1,,,"[2241.26, -362.57, 1840.06]",Table,['Minus']
457537,MinusField,H-6,0xf907f9e885326f6f,Enemy_Lizalfos_Dark,Depths1,,0,"['Weapon_Lsword_174', 'AsbObj_BoneStick_A_01']",1,,,"[2190.17, -362.57, 1932.25]",Table,['Minus']
464559,MinusField,H-8,0xb55b95242da8d2d3,Enemy_Lizalfos_Dark,Depths62,,0,['Weapon_Spear_113'],1,,,"[2814.62, -345.01, 3853.6]",Table,['Minus']
