objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
10802,MainField,A-7,0x7c769a33eb9515b2,Enemy_Lizalfos_Guard_Middle,Surface21,Gerudo Canyon,0,"['Weapon_Bow_011', 'LizalfosPipe', 'ElectricalFruit']",0,,,"[-4665, 140.12, 2408]",Table,['Thunder']
10941,MainField,A-7,0x972b0432a86d3970,Enemy_Lizalfos_Guard_Middle,Surface21,Gerudo Canyon,0,"['Weapon_Bow_011', 'LizalfosPipe']",0,,,"[-4622.2, 138.76, 2406.91]",Table,['Arrow']
11868,MainField,A-7,0x68f83c4404bb365f,Enemy_Lizalfos_Guard_Middle,Surface21,Gerudo Canyon,0,"['Weapon_Bow_011', 'LizalfosPipe', 'ElectricalFruit']",1,,,"[-4639.24, 143.01, 2417.47]",Table,['Thunder']
162127,MainField,F-7,0x3994e80c149b6e0e,Enemy_Lizalfos_Guard_Middle,Surface29,Popla Foothills,0,"['Weapon_Bow_011', 'LizalfosPipe', 'ElectricalFruit']",1,,,"[1033.57, 122.32, 2761.53]",Table,['Thunder']
162128,MainField,F-7,0x5b92c71f7c9562ec,Enemy_Lizalfos_Guard_Middle,Surface29,Popla Foothills,0,"['Weapon_Bow_011', 'LizalfosPipe', 'ElectricalFruit']",1,,,"[1021.02, 129.3, 2766.05]",Table,['Thunder']
258170,MainField,I-6,0x929126e4b6467c12,Enemy_Lizalfos_Guard_Middle,Surface38,Mount Lanayru,0,"['Weapon_Bow_011', 'LizalfosPipe', 'ElectricalFruit']",0,,,"[3803.69, 442.09, 1655.36]",Table,['Thunder']
258181,MainField,I-6,0xc04dd31d4bc0c29e,Enemy_Lizalfos_Guard_Middle,Surface38,Mount Lanayru,0,"['Weapon_Bow_011', 'LizalfosPipe', 'FireFruit']",0,,,"[3480.83, 314.79, 1091.27]",Table,['Fire']
258295,MainField,I-6,0x87191248c3c801c8,Enemy_Lizalfos_Guard_Middle,Surface38,Mount Lanayru,0,"['Weapon_Bow_011', 'LizalfosPipe']",0,,,"[3363.83, 328.7, 1706.63]",Table,['Arrow']
260031,MainField,I-6,0x40f3a007b781ec1c,Enemy_Lizalfos_Guard_Middle,Surface38,Mount Lanayru,0,"['Weapon_Bow_011', 'IceFruit']",1,,,"[3641.34, 360.67, 1787.8]",Table,['Ice']
260032,MainField,I-6,0xf04f19a5125fc7c3,Enemy_Lizalfos_Guard_Middle,Surface38,Mount Lanayru,0,"['Weapon_Bow_011', 'IceFruit']",1,,,"[3647.33, 360.68, 1794.47]",Table,['Ice']
279078,MainField,J-6,0xfeb87594abff4a50,Enemy_Lizalfos_Guard_Middle_LongVisibility,Surface38,Mount Lanayru,0,"['Weapon_Bow_011', 'LizalfosPipe', 'IceFruit']",0,,,"[4032.5, 459.69, 1679]",Table,['Ice']
279079,MainField,J-6,0x6da3c01e115bc71d,Enemy_Lizalfos_Guard_Middle_LongVisibility,Surface38,Mount Lanayru,0,"['Weapon_Bow_011', 'LizalfosPipe', 'IceFruit']",0,,,"[4046, 459.59, 1668.5]",Table,['Ice']
279080,MainField,J-6,0x62db2e3fefa9ac72,Enemy_Lizalfos_Guard_Middle_LongVisibility,Surface38,Mount Lanayru,0,"['Weapon_Bow_011', 'LizalfosPipe', 'IceFruit']",0,,,"[4012, 463.66, 1678]",Table,['Ice']
279097,MainField,J-6,0x4d3868ce7cdf360f,Enemy_Lizalfos_Guard_Middle_LongVisibility,Surface38,Mount Lanayru,0,"['Weapon_Bow_011', 'LizalfosPipe', 'IceFruit']",0,,,"[4038, 459.59, 1657.5]",Table,['Ice']
549012,MainField,Cave__Well_0045_GroupSet_000 ,0xff41be38f53cefa5,Enemy_Lizalfos_Guard_Middle_LongVisibility,Cave73,,0,"['Weapon_Sword_112', 'LizalfosPipe']",1,,,"[-2786.51, 109, 2223.68]",Table,['Default']
549013,MainField,Cave__Well_0045_GroupSet_000 ,0xf4c5c390f980f88f,Enemy_Lizalfos_Guard_Middle_LongVisibility,Cave73,,0,"['Weapon_Bow_002', 'LizalfosPipe']",1,,,"[-2782.63, 108.56, 2244.9]",Table,['Arrow']
550615,MainField,Castle__Set_HyruleCastle_IslandGround_A ,0xc724985d7ea3ce02,Enemy_Lizalfos_Guard_Middle,Surface79,Lookout Landing,0,"['Weapon_Bow_011', 'LizalfosPipe']",0,,,"[-71.64, 397.28, -949.27]",Table,['Arrow']
550628,MainField,Castle__Set_HyruleCastle_IslandGround_A ,0xbb914f4377dd0339,Enemy_Lizalfos_Guard_Middle,Surface79,Lookout Landing,0,"['Weapon_Bow_011', 'LizalfosPipe']",0,,,"[-322.31, 394.48, -965.17]",Table,['Arrow']
288535,MinusField,A-5,0xa89ebea8c3ec3763,Enemy_Lizalfos_Guard_Middle,Depths4,,0,"['Weapon_Bow_011', 'LizalfosPipe']",1,,,"[-4919.71, -813.69, 357.1]",Table,['Minus_Arrow']
288548,MinusField,A-5,0x292f846a52f31fd6,Enemy_Lizalfos_Guard_Middle,Depths4,,0,"['Weapon_Bow_011', 'LizalfosPipe']",1,,,"[-4367.24, -575.23, 145.24]",Table,['Minus_Arrow']
291740,MinusField,A-6,0x460b0bb26b5fec89,Enemy_Lizalfos_Guard_Middle,Depths4,,0,"['Weapon_Bow_011', 'LizalfosPipe']",1,,,"[-4199.8, -547.36, 1806.13]",Table,['Minus_Arrow']
302613,MinusField,B-2,0x7df57877d0e7c38c,Enemy_Lizalfos_Guard_Middle,Depths3,,0,"['Weapon_Bow_011', 'LizalfosPipe']",1,,,"[-3783.24, -476.53, -2140.72]",Table,['Minus_Arrow']
309011,MinusField,B-4,0x889042cec71d9e52,Enemy_Lizalfos_Guard_Middle,Depths23,,0,"['Weapon_Bow_011', 'LizalfosPipe']",1,,,"[-3156.36, -259.78, -697.39]",Table,['Minus_Arrow']
309035,MinusField,B-4,0x167470f3573da135,Enemy_Lizalfos_Guard_Middle,Depths23,,0,"['Weapon_Bow_011', 'LizalfosPipe']",1,,,"[-3157.97, -240.5, -410.73]",Table,['Minus_Arrow']
316387,MinusField,B-6,0x4ea5d34784ded831,Enemy_Lizalfos_Guard_Middle,Depths0,,0,"['Weapon_Bow_011', 'LizalfosPipe']",1,,,"[-3382.55, -921.17, 1009.65]",Table,['Minus_Arrow']
316450,MinusField,B-6,0xc281af9b0687e713,Enemy_Lizalfos_Guard_Middle,Depths4,,0,"['Weapon_Bow_011', 'LizalfosPipe']",1,,,"[-3863.94, -644.43, 1770.24]",Table,['Minus_Arrow']
316468,MinusField,B-6,0x0f97090df4a28fab,Enemy_Lizalfos_Guard_Middle,Depths4,,0,"['Weapon_Bow_011', 'LizalfosPipe']",1,,,"[-3372.46, -672.96, 1759.33]",Table,['Minus_Arrow']
328169,MinusField,C-2,0x24deb6a20ee96202,Enemy_Lizalfos_Guard_Middle,Depths5,,0,"['Weapon_Bow_011', 'LizalfosPipe']",1,,,"[-2009.77, -578.17, -2640.19]",Table,['Minus_Arrow']
331293,MinusField,C-3,0x2120092a34a4fc1b,Enemy_Lizalfos_Guard_Middle,Depths81,,0,"['Weapon_Bow_011', 'LizalfosPipe']",1,,,"[-2609.54, -541.36, -1053.13]",Table,['Minus_Arrow']
331301,MinusField,C-3,0x0aa46c928b50864b,Enemy_Lizalfos_Guard_Middle,Depths26,,0,"['Weapon_Bow_011', 'LizalfosPipe']",1,,,"[-2008.73, -443.25, -1615.28]",Table,['Minus_Arrow']
