objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
2262,MainField,A-2,0x61a30892bf2a2856,Enemy_Lizalfos_Ice,Surface3,Rospro Pass,0,"['Weapon_Sword_107', 'BrokenSnowBallForAttachmentSmall']",0,,,"[-4140.15, 326.77, -2004.71]",Table,['Default']
3496,MainField,A-2,0x87e9f1d77fa18c15,Enemy_Lizalfos_Ice,Surface107,Rospro Pass,0,,1,,,"[-4425.84, 402.46, -2953.29]",Table,['Default']
3497,MainField,A-2,0x29dd0f323a7518a6,Enemy_Lizalfos_Ice,Surface107,Rospro Pass,0,,1,,,"[-4400.87, 392.04, -2953.04]",Table,['Default']
3498,MainField,A-2,0xfcd0c7003fd3a49e,Enemy_Lizalfos_Ice,Surface107,Rospro Pass,0,,1,,,"[-4414.45, 396.14, -2931.45]",Table,['Default']
3499,MainField,A-2,0x9fd40cb87e799c8d,Enemy_Lizalfos_Ice,Surface107,Rospro Pass,0,,1,,,"[-4406.87, 396.14, -2927.98]",Table,['Default']
4311,MainField,A-3,0x89667d2909e25655,Enemy_Lizalfos_Ice,Surface3,Rospro Pass,0,['Weapon_Spear_108'],0,,,"[-4194.91, 315.2, -1918.04]",Table,['Default']
4313,MainField,A-3,0x46e9d01983873433,Enemy_Lizalfos_Ice,Surface3,Rospro Pass,0,,0,,,"[-4273, 262.18, -1888.06]",Table,['Default']
5566,MainField,A-5,0x671e5f9759c480af,Enemy_Lizalfos_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4163.09, 559.77, 400.63]",Table,['Default']
5567,MainField,A-5,0x9e8e5eaf63f61e55,Enemy_Lizalfos_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4143.98, 536.89, 338.53]",Table,['Default']
5568,MainField,A-5,0xc1a378d5c790a454,Enemy_Lizalfos_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4115.17, 550.38, 386.99]",Table,['Default']
14312,MainField,B-1,0xcb0c9694fc7b77c8,Enemy_Lizalfos_Ice,Surface107,Rospro Pass,0,"['Weapon_Lsword_108', 'AsbObj_RockParts_C_S_01']",0,,,"[-3457.27, 494.99, -3583.47]",Table,['Default']
14313,MainField,B-1,0xcb0c96945171a57d,Enemy_Lizalfos_Ice,Surface107,Rospro Pass,0,"['Weapon_Sword_107', 'AsbObj_SharpRock_A_S_01']",0,,,"[-3447.72, 498.22, -3560.71]",Table,['Default']
14314,MainField,B-1,0xcb0c96947b44b262,Enemy_Lizalfos_Ice,Surface107,Rospro Pass,0,['Weapon_Lsword_108'],0,,,"[-3417.72, 505.34, -3547.73]",Table,['Default']
