objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
23165,MainField,B-3,0x56ca2a89f0007b66,Enemy_Lizalfos_Junior,Surface42,Lindor's Brow,1,['Weapon_Spear_103'],0,,,"[-3053.42, 335.93, -1447.41]",Table,['Default']
23169,MainField,B-3,0x17bf3c0674b75aa2,Enemy_Lizalfos_Junior,Surface42,Lindor's Brow,0,"['Weapon_Sword_105', 'AsbObj_RockParts_C_S_01']",0,,,"[-3033.96, 336.73, -1461.62]",Table,['Default']
24226,MainField,B-3,0x3f0ed165e701f54c,Enemy_Lizalfos_Junior,Surface42,Lindor's Brow,0,['Weapon_Spear_103'],0,,,"[-3556.9, 330.64, -1053.91]",Table,['Default']
26716,MainField,B-4,0xe16a7f4b7766f8eb,Enemy_Lizalfos_Junior,Surface42,Lindor's Brow,0,['Weapon_Spear_103'],0,,,"[-3681, 354.74, -990.54]",Table,['Default']
26717,MainField,B-4,0xe16a7f4bc9169319,Enemy_Lizalfos_Junior,Surface42,Lindor's Brow,1,"['Weapon_Sword_105', 'Weapon_Shield_007']",0,,,"[-3668.22, 354.34, -991.03]",Table,['Default']
29282,MainField,B-4,0x15301072bd61831e,Enemy_Lizalfos_Junior,Surface42,Lindor's Brow,0,,1,,,"[-3614.01, 328.75, -913.16]",Table,['Default']
47155,MainField,C-1,0x57ff400b3595a42c,Enemy_Lizalfos_Junior,Surface3,Rospro Pass,0,['Weapon_Spear_103'],0,,,"[-2440.22, 487.05, -2997.45]",Table,['Default']
47171,MainField,C-1,0xb9172ba12f4c5007,Enemy_Lizalfos_Junior,Surface3,Rospro Pass,0,['Weapon_Lsword_103'],0,,,"[-2453.58, 490.4, -2996.36]",Table,['Default']
49817,MainField,C-2,0xe16a7f4bb48c1c46,Enemy_Lizalfos_Junior,Surface3,Pikida Stonegrove,0,['Weapon_Sword_105'],0,,,"[-2190.5, 357.75, -2646]",Table,['Default']
49818,MainField,C-2,0xe16a7f4b9fa49350,Enemy_Lizalfos_Junior,Surface3,Pikida Stonegrove,0,['Weapon_Spear_103'],0,,,"[-2218, 365.56, -2662]",Table,['Default']
49819,MainField,C-2,0xe16a7f4be6e29654,Enemy_Lizalfos_Junior,Surface3,Pikida Stonegrove,0,['Weapon_Lsword_103'],0,,,"[-2196, 366.55, -2683]",Table,['Default']
49820,MainField,C-2,0xe16a7f4ba84a9fa7,Enemy_Lizalfos_Junior,Surface3,Pikida Stonegrove,0,"['Weapon_Spear_103', 'AsbObj_RockParts_C_S_01']",0,,,"[-2158, 378.94, -2721]",Table,['Default']
49822,MainField,C-2,0xe16a7f4b96830af1,Enemy_Lizalfos_Junior,Surface3,Pikida Stonegrove,1,"['Weapon_Spear_103', 'AsbObj_RockParts_C_S_01']",0,,,"[-2213.5, 379.23, -2716.5]",Table,['Default']
49823,MainField,C-2,0xe16a7f4b663ebd77,Enemy_Lizalfos_Junior,Surface3,Pikida Stonegrove,1,['Weapon_Sword_105'],0,,,"[-2171.5, 367, -2689.5]",Table,['Default']
89236,MainField,D-5,0xe16a7f4b9e270fa3,Enemy_Lizalfos_Junior,Surface6,Lookout Landing,0,"['Weapon_Bow_001', 'ElectricalFruit']",0,,,"[-1340, 119.83, 227]",Table,['Thunder']
89237,MainField,D-5,0xe16a7f4b651c5d8c,Enemy_Lizalfos_Junior,Surface6,Lookout Landing,0,"['Weapon_Bow_001', 'ElectricalFruit']",0,,,"[-1362.5, 121.16, 241]",Table,['Thunder']
126342,MainField,E-7,0xe16a7f4b0365c7ee,Enemy_Lizalfos_Junior,Surface10,Popla Foothills,1,['Weapon_Spear_103'],0,,,"[-421.44, 95.25, 2557.05]",Table,['Default']
128390,MainField,E-7,0x3cf20b7cf8ffdf21,Enemy_Lizalfos_Junior,Surface25,Popla Foothills,0,,1,,,"[-879.22, 232.62, 2849.63]",Table,['Default']
134771,MainField,F-1,0xb93df41e6399facf,Enemy_Lizalfos_Junior,Surface16,Thyphlo Ruins,0,,1,,,"[579.89, 286.87, -3142.05]",Table,['Default']
134772,MainField,F-1,0xb085d656eda52ec2,Enemy_Lizalfos_Junior,Surface16,Thyphlo Ruins,0,,1,,,"[526, 277.91, -3141]",Table,['Default']
134773,MainField,F-1,0x7d4502bb38eeea81,Enemy_Lizalfos_Junior,Surface16,Thyphlo Ruins,1,,1,,,"[580.47, 286.97, -3134.5]",Table,['Default']
141105,MainField,F-3,0xeaca5b8414604ca7,Enemy_Lizalfos_Junior,Surface60,Thyphlo Ruins,0,"['Weapon_Sword_105', 'Item_Mushroom_E']",0,,,"[539, 115.43, -1187]",Table,['Default']
141106,MainField,F-3,0x27a8cc643b81cb7f,Enemy_Lizalfos_Junior,Surface35,Thyphlo Ruins,0,['Weapon_Sword_105'],0,,,"[538.64, 112.98, -1165.42]",Table,['Default']
142627,MainField,F-3,0xa65f62e5462cc962,Enemy_Lizalfos_Junior,Surface60,Eldin Canyon,1,,1,,,"[804.57, 115.31, -1164.93]",Table,['Default']
144897,MainField,F-4,0xbacb47d02da5f2c1,Enemy_Lizalfos_Junior,Surface6,Lookout Landing,0,,0,,,"[738.5, 115.01, -75.37]",Table,['Default']
151866,MainField,F-5,0x6bac70d99095f60b,Enemy_Lizalfos_Junior,Surface65,Sahasra Slope,0,,1,,,"[857.03, 131.45, 284.68]",Table,['Default']
151868,MainField,F-5,0x44b34b3dea8a265f,Enemy_Lizalfos_Junior,Surface65,Sahasra Slope,1,,1,,,"[862.14, 131.45, 296.73]",Table,['Default']
160635,MainField,F-7,0x4fca61017ead8831,Enemy_Lizalfos_Junior,Surface74,Popla Foothills,0,['Weapon_Spear_103'],0,,,"[630.67, 127.82, 2996.39]",Table,['Default']
163288,MainField,F-8,0xe16a7f4be9493112,Enemy_Lizalfos_Junior,Surface74,Popla Foothills,0,"['Weapon_Spear_103', 'AsbObj_RockParts_C_S_01']",0,,,"[197.5, 158.6, 3133.5]",Table,['Default']
163289,MainField,F-8,0xe16a7f4b5e593a22,Enemy_Lizalfos_Junior,Surface74,Popla Foothills,0,['Weapon_Bow_006'],0,,,"[195.5, 158.37, 3149.5]",Table,['Arrow']
163291,MainField,F-8,0xe16a7f4be935b5a5,Enemy_Lizalfos_Junior,Surface36,Popla Foothills,1,"['Weapon_Sword_105', 'Item_Mushroom_E']",0,,,"[320, 157.15, 3195]",Table,['Default']
163292,MainField,F-8,0xe16a7f4b2fcdffc4,Enemy_Lizalfos_Junior,Surface74,Popla Foothills,0,['Weapon_Sword_105'],0,,,"[279, 146.64, 3148.5]",Table,['Default']
163293,MainField,F-8,0xe16a7f4baad1b676,Enemy_Lizalfos_Junior,Surface74,Popla Foothills,1,['Weapon_Spear_103'],0,,,"[272, 145.71, 3148]",Table,['Default']
163295,MainField,F-8,0xe16a7f4bf6008307,Enemy_Lizalfos_Junior,Surface36,Popla Foothills,0,['Weapon_Spear_103'],0,,,"[364.5, 172.86, 3220.5]",Table,['Default']
163297,MainField,F-8,0xe16a7f4b9981ad24,Enemy_Lizalfos_Junior,Surface24,Popla Foothills,1,"['Weapon_Sword_105', 'AsbObj_RockParts_C_S_01']",0,,,"[765.72, 234.93, 3630.1]",Table,['Default']
163298,MainField,F-8,0xe16a7f4bdaf5b665,Enemy_Lizalfos_Junior,Surface24,Popla Foothills,0,['Weapon_Sword_105'],0,,,"[753.97, 234.25, 3650.14]",Table,['Default']
163299,MainField,F-8,0xe16a7f4b6b39bbac,Enemy_Lizalfos_Junior,Surface24,Popla Foothills,0,['Weapon_Spear_103'],0,,,"[709.31, 224.22, 3616.51]",Table,['Default']
163300,MainField,F-8,0xe16a7f4bfe02ae70,Enemy_Lizalfos_Junior,Surface24,Popla Foothills,0,['Weapon_Spear_103'],0,,,"[671.8, 231.31, 3656.13]",Table,['Default']
167781,MainField,F-8,0xe162107158939978,Enemy_Lizalfos_Junior,Surface74,Popla Foothills,1,,1,,,"[84.88, 157.82, 3289.15]",Table,['Default']
184133,MainField,G-4,0x9f194439d5e85212,Enemy_Lizalfos_Junior,Surface41,Sahasra Slope,0,['Weapon_Sword_105'],0,,,"[1212.35, 113.26, -762.24]",Table,['Default']
184134,MainField,G-4,0xd0972e54c0e1a09f,Enemy_Lizalfos_Junior,Surface41,Sahasra Slope,0,"['Weapon_Sword_105', 'Weapon_Shield_007']",0,,,"[1216.65, 113.13, -739.14]",Table,['Default']
184253,MainField,G-4,0x22466584edec141e,Enemy_Lizalfos_Junior,Surface69,Sahasra Slope,0,"['Weapon_Spear_103', 'Item_RoastFish_01']",0,,,"[1872.98, 116.7, -110.9]",Table,['Default']
185674,MainField,G-4,0x23fbd06238ceccd2,Enemy_Lizalfos_Junior,Surface65,Sahasra Slope,0,['Weapon_Sword_105'],1,,,"[1422.38, 115.01, -38.47]",Table,['Default']
185698,MainField,G-4,0xa4d88a13e1b77555,Enemy_Lizalfos_Junior,Surface69,Sahasra Slope,0,['Weapon_Sword_105'],1,,,"[1969.75, 119.15, -132.25]",Table,['Default']
185699,MainField,G-4,0x8c614280345fce0f,Enemy_Lizalfos_Junior,Surface69,Sahasra Slope,0,['Weapon_Lsword_106'],1,,,"[1983.43, 119.15, -133.55]",Table,['Default']
186427,MainField,G-5,0xcb0c9694cf5f9ea4,Enemy_Lizalfos_Junior,Surface65,Sahasra Slope,0,"['Weapon_Sword_105', 'Item_RoastFish_01']",0,,,"[1486.8, 116.5, 139.31]",Table,['Default']
186428,MainField,G-5,0x3da1ea1b07528a50,Enemy_Lizalfos_Junior,Surface69,Sahasra Slope,0,['Weapon_Spear_103'],0,,,"[1858.68, 119.43, 214.38]",Table,['Default']
186429,MainField,G-5,0x7de4bb2ee2df0e8e,Enemy_Lizalfos_Junior,Surface69,Sahasra Slope,0,['Weapon_Sword_105'],0,,,"[1855.61, 121.13, 201.05]",Table,['Default']
186430,MainField,G-5,0xcb0c96942a695221,Enemy_Lizalfos_Junior,Surface65,Sahasra Slope,0,['Weapon_Sword_105'],0,,,"[1562.79, 116.29, 92]",Table,['Default']
187116,MainField,G-5,0xa87ec815019aae9c,Enemy_Lizalfos_Junior,Surface69,Sahasra Slope,0,['Weapon_Bow_006'],0,,,"[1891, 120.93, 152]",Table,['Arrow']
187913,MainField,G-5,0x0db059cf94652cd1,Enemy_Lizalfos_Junior,Surface65,Sahasra Slope,0,['Weapon_Spear_103'],0,,,"[1852.27, 115.03, 501.64]",Table,['Default']
187915,MainField,G-5,0xfd5284e101ab9d0b,Enemy_Lizalfos_Junior,Surface69,Sahasra Slope,0,"['Weapon_Sword_105', 'AsbObj_RockParts_C_S_01']",0,,,"[1697.19, 115.01, 142.59]",Table,['Default']
189029,MainField,G-5,0x2fe12caf145c24fa,Enemy_Lizalfos_Junior,Surface65,Sahasra Slope,1,,1,,,"[1182.82, 124.31, 170.65]",Table,['Default']
189030,MainField,G-5,0x2cc1fcec90f22726,Enemy_Lizalfos_Junior,Surface65,Sahasra Slope,0,['Weapon_Sword_105'],1,,,"[1182.78, 123.16, 182.53]",Table,['Default']
189037,MainField,G-5,0x2a1d4ab6eca4dbe1,Enemy_Lizalfos_Junior,Surface65,Sahasra Slope,1,['Weapon_Lsword_103'],1,,,"[1764.58, 114.7, 509.41]",Table,['Default']
