objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
9103,MainField,A-6,0xe16a7f4b7d576761,Enemy_Lizalfos_Middle,Surface0,Gerudo Highlands,0,,1,,,"[-4184.65, 598.2, 1166.86]",Table,['Default']
10761,MainField,A-7,0xd20a191c01b40560,Enemy_Lizalfos_Middle,Surface21,Gerudo Canyon,0,,0,,,"[-4594.99, 140.16, 2663.99]",Table,['Default']
10762,MainField,A-7,0xc931f1d26717a94f,Enemy_Lizalfos_Middle,Surface21,Gerudo Canyon,0,,0,,,"[-4594, 139.32, 2650]",Table,['Default']
10777,MainField,A-7,0xc2d237df2755d26a,Enemy_Lizalfos_Middle,Surface21,Gerudo Canyon,0,['Weapon_Bow_011'],0,,,"[-4916, 138.4, 2144]",Table,['Arrow']
10778,MainField,A-7,0x646901ef5d563d81,Enemy_Lizalfos_Middle,Surface21,Gerudo Canyon,0,['Weapon_Bow_011'],0,,,"[-4939, 138.59, 2200]",Table,['Arrow']
10788,MainField,A-7,0x0f0844463b3dadf4,Enemy_Lizalfos_Middle,Surface21,Gerudo Canyon,1,['Weapon_Bow_011'],0,,,"[-4939, 138.59, 2120.08]",Table,['Arrow']
10803,MainField,A-7,0x75a0e5df052d469b,Enemy_Lizalfos_Middle,Surface21,Gerudo Canyon,1,['Weapon_Lsword_103'],0,,,"[-4627, 138.95, 2417]",Table,['Default']
10804,MainField,A-7,0xcfbb3eff0fcc5187,Enemy_Lizalfos_Middle,Surface21,Gerudo Canyon,0,"['Weapon_Sword_107', 'Weapon_Shield_008']",0,,,"[-4638, 139.09, 2431]",Table,['Default']
10889,MainField,A-7,0xf8a5cde067bb8648,Enemy_Lizalfos_Middle,Surface21,Gerudo Canyon,1,"['Weapon_Lsword_108', 'Obj_LiftRockGerudo_Korok_A_01']",0,,,"[-4659, 137.15, 2428]",Table,['Default']
10897,MainField,A-7,0xf04d444807373882,Enemy_Lizalfos_Middle,Surface21,Gerudo Canyon,0,['Weapon_Spear_103'],0,,,"[-4641, 137, 2407]",Table,['Default']
11823,MainField,A-7,0xa33a66e342f9eaca,Enemy_Lizalfos_Middle,Surface21,Gerudo Canyon,0,['Weapon_Bow_011'],1,,,"[-4958.16, 141.32, 2101.06]",Table,['Arrow']
11869,MainField,A-7,0x5bf2cac881b78e5a,Enemy_Lizalfos_Middle,Surface21,Gerudo Canyon,0,['Weapon_Spear_108'],1,,,"[-4644.43, 139.01, 2438.21]",Table,['Default']
16671,MainField,B-1,0x6fb490064ec79828,Enemy_Lizalfos_Middle,Surface39,Rospro Pass,0,,1,,,"[-3971.82, 531.93, -3700.75]",Table,['Default']
109427,MainField,E-4,0xaf427f97a62a4318,Enemy_Lizalfos_Middle,Surface79,Lookout Landing,0,['Weapon_Lsword_174'],0,,,"[-247.5, 186.38, -768.24]",Table,['Default']
157604,MainField,F-6,0x31424e8f67d15afc,Enemy_Lizalfos_Middle,Surface49,Popla Foothills,1,"['Weapon_Sword_106', 'Weapon_Shield_002']",1,,,"[743.86, 116.21, 1762.26]",Table,['Default']
160445,MainField,F-7,0x051b51d537fc0365,Enemy_Lizalfos_Middle,Surface29,Popla Foothills,0,"['Weapon_Spear_108', 'AsbObj_SharpRock_A_S_01']",0,,,"[752.8, 116.21, 2711.37]",Table,['Default']
160446,MainField,F-7,0x770c4c07f082eb44,Enemy_Lizalfos_Middle,Surface29,Popla Foothills,0,['Weapon_Spear_108'],0,,,"[744.14, 116.21, 2711.37]",Table,['Default']
162257,MainField,F-7,0x81d582e8d3e9eb91,Enemy_Lizalfos_Middle,Surface49,Popla Foothills,0,['Weapon_Spear_103'],1,,,"[1001.42, 219.89, 2227.97]",Table,['Default']
162371,MainField,F-7,0x50e2fe53c20b568e,Enemy_Lizalfos_Middle,Surface49,Popla Foothills,0,['Weapon_Spear_103'],1,,,"[609.97, 185.96, 2612.28]",Table,['Default']
189038,MainField,G-5,0xa363006e02359bab,Enemy_Lizalfos_Middle,Surface65,Sahasra Slope,0,"['Weapon_Sword_105', 'Weapon_Shield_008']",1,,,"[1761.85, 114.7, 520.09]",Table,['Default']
201965,MainField,G-8,0x77f0e42846eb2aaf,Enemy_Lizalfos_Middle,Surface59,Popla Foothills,0,"['Weapon_Sword_105', 'Weapon_Shield_008']",0,,,"[1788.31, 271.41, 3742.55]",Table,['Default']
204136,MainField,G-8,0xd3f352d2a369f3f8,Enemy_Lizalfos_Middle,Surface59,Popla Foothills,1,,1,,,"[1884.52, 201.74, 3295.71]",Table,['Default']
204137,MainField,G-8,0x940316ad09ce1426,Enemy_Lizalfos_Middle,Surface59,Popla Foothills,0,,1,,,"[1893.71, 201.6, 3296.02]",Table,['Default']
204138,MainField,G-8,0x38806cfcc5dfb0f9,Enemy_Lizalfos_Middle,Surface59,Popla Foothills,0,,1,,,"[1887.32, 201.38, 3307.51]",Table,['Default']
215645,MainField,H-4,0x38dc51a030c2a5ce,Enemy_Lizalfos_Middle,Surface34,Upland Zorana,0,['Weapon_Spear_106'],0,,,"[2860.5, 273.3, -193.5]",Table,['Default']
218974,MainField,H-4,0x6e7dcbda71bdc3a5,Enemy_Lizalfos_Middle,Surface84,Upland Zorana,0,['Weapon_Sword_127'],1,,,"[2381, 152.04, -59]",Table,['Default']
219047,MainField,H-4,0x6149dff4fe0dec49,Enemy_Lizalfos_Middle,Surface34,Upland Zorana,1,,1,,,"[2855.37, 188.68, -15.05]",Table,['Default']
219654,MainField,H-4,0x7619d9d11b3626fb,Enemy_Lizalfos_Middle,Surface34,Upland Zorana,0,['Weapon_Sword_106'],1,,,"[2996.81, 320.44, -261.59]",Table,['Default']
236897,MainField,H-8,0xc37b14bfdeeca00f,Enemy_Lizalfos_Middle,Surface61,Rabella Wetlands,0,"['Weapon_Bow_011', 'ElectricalFruit']",1,,,"[2689.56, 244.48, 3626.67]",Table,['Thunder']
240096,MainField,I-1,0x8fa2285790b6d865,Enemy_Lizalfos_Middle,Surface20,Ulri Mountain,1,['Weapon_Sword_107'],1,,,"[3676.88, 287.78, -3487.62]",Table,['Default']
240097,MainField,I-1,0xf19c414dbb94eb2a,Enemy_Lizalfos_Middle,Surface20,Ulri Mountain,0,['Weapon_Bow_011'],1,,,"[3669.54, 288.48, -3479.98]",Table,['Arrow']
