objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
137253,MainField,F-2,0x01f742601c4af688,Enemy_Moriblin_Bone_Junior_AllDay,Surface8,Thyphlo Ruins,0,['Weapon_Spear_125'],0,,,"[270.18, 281.3, -2261.35]",Table,['Default']
137260,MainField,F-2,0xb0f19aeac2c7bee6,Enemy_Moriblin_Bone_Junior_AllDay,Surface8,Thyphlo Ruins,0,['Weapon_Sword_109'],0,,,"[187.56, 283.2, -2281.63]",Table,['Default']
137261,MainField,F-2,0xf80db3508f00d769,Enemy_Moriblin_Bone_Junior_AllDay,Surface8,Thyphlo Ruins,0,['Weapon_Sword_109'],0,,,"[208.39, 282.17, -2273.21]",Table,['Default']
137376,MainField,F-2,0x18ae47040abb421b,Enemy_Moriblin_Bone_Junior_AllDay,Surface8,Thyphlo Ruins,0,"['Weapon_Lsword_020', 'Item_Enemy_91']",0,,,"[685.5, 280.03, -2270.5]",Table,['Default']
137380,MainField,F-2,0xc79cea8ae0343faa,Enemy_Moriblin_Bone_Junior_AllDay,Surface8,Thyphlo Ruins,0,"['Weapon_Spear_021', 'Item_Enemy_91']",0,,,"[731.91, 284.97, -2390.56]",Table,['Default']
265503,MainField,I-7,0x7565eb85ac911aa8,Enemy_Moriblin_Bone_Junior_AllDay_AlwaysRespawn,Surface13,Mount Lanayru,0,['Weapon_Lsword_103'],1,,,"[3292.02, 213.63, 2097.86]",Table,['Default']
265504,MainField,I-7,0xf2c6b99c030377d0,Enemy_Moriblin_Bone_Junior_AllDay_AlwaysRespawn,Surface13,Mount Lanayru,0,['Weapon_Lsword_103'],1,,,"[3291.31, 213.61, 2100.69]",Table,['Default']
265505,MainField,I-7,0x8a6ae6e2a1200942,Enemy_Moriblin_Bone_Junior_AllDay_AlwaysRespawn,Surface13,Mount Lanayru,0,['Weapon_Lsword_103'],1,,,"[3298.7, 214.1, 2094.73]",Table,['Default']
522106,MainField,Cave__Cave_Akkala_0011_GroupSet_000 ,0x1d41ae7942b581f4,Enemy_Moriblin_Bone_Junior_AllDay,Cave22,,0,['Weapon_Lsword_020'],0,,,"[3384.24, -31.57, -3328.69]",Table,['Default']
522854,MainField,Cave__Cave_CentralHyrule_0018_GroupSet_000 ,0x3386b5ccedff138c,Enemy_Moriblin_Bone_Junior_AllDay,Cave76,,0,['Weapon_Lsword_020'],0,,,"[-256.65, 101.16, -359.1]",Table,['Default']
543293,MainField,Cave__Cave_LanayruMountain_0024_GroupSet_000 ,0xa265b66122d1d32d,Enemy_Moriblin_Bone_Junior_AllDay,Cave61,,0,['Weapon_Lsword_113'],0,,,"[3518.86, 111.1, 3247.86]",Table,['Default']
547975,MainField,Cave__Well_0018_GroupSet_000 ,0xbb721b7dc5859da9,Enemy_Moriblin_Bone_Junior_AllDay,Cave32,,0,,0,,,"[677.68, 106.59, 798.5]",Table,['Default']
295657,MinusField,A-8,0x7832a94a725bc814,Enemy_Moriblin_Bone_Junior_AllDay,Depths21,,0,,0,,,"[-4326.73, -372.29, 3648.8]",Table,['Minus']
298202,MinusField,B-1,0xaa4b58f3d145ff61,Enemy_Moriblin_Bone_Junior_AllDay,Depths3,,0,,0,,,"[-3676.25, -706.34, -3599.77]",Table,['Minus']
298203,MinusField,B-1,0x8506b3099c9a9093,Enemy_Moriblin_Bone_Junior_AllDay,Depths3,,0,,0,,,"[-3672.97, -712.48, -3625.04]",Table,['Minus']
467136,MinusField,I-1,0x43e66fbf0043a726,Enemy_Moriblin_Bone_Junior_AllDay,Depths22,,0,,1,,,"[3246.39, -325.58, -3452.82]",Table,['Minus']
467137,MinusField,I-1,0x3d1b4fb2e7c6190c,Enemy_Moriblin_Bone_Junior_AllDay,Depths22,,0,,1,,,"[3247.95, -325.75, -3431.79]",Table,['Minus']
