objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
29281,MainField,B-4,0xb6ec45eeda901dc2,Enemy_Moriblin_Middle,Surface42,Lindor's Brow,1,,1,,,"[-3391.21, 344.13, -623.68]",Table,['Default']
63759,MainField,C-5,0x257edb59081ad967,Enemy_Moriblin_Middle,Surface64,Hyrule Field,1,['Weapon_Lsword_108'],0,,,"[-2298.25, 416.7, 524.14]",Table,['Default']
63760,MainField,C-5,0x16b361c2ad77d533,Enemy_Moriblin_Middle,Surface64,Hyrule Field,0,"['Weapon_Lsword_106', 'AsbObj_RockParts_C_S_01']",0,,,"[-2292.09, 416.88, 532.54]",Table,['Default']
73306,MainField,C-7,0x5dff94a57e3ff226,Enemy_Moriblin_Middle,Surface73,Gerudo Canyon,0,"['Weapon_Sword_103', 'Weapon_Shield_001']",1,,,"[-2676, 276.28, 2322.17]",Table,['Default']
79136,MainField,D-2,0xebed3ac1e36224e3,Enemy_Moriblin_Middle,Surface60,Lindor's Brow,1,['Weapon_Bow_002'],0,,,"[-1026.04, 232.46, -2450.11]",Table,['Arrow']
92096,MainField,D-5,0x6303dd0a65030bb7,Enemy_Moriblin_Middle,Surface77,Hyrule Field,1,,1,,,"[-1803.61, 199.19, 550.77]",Table,['Default']
106052,MainField,E-2,0xdc26393ffbf44570,Enemy_Moriblin_Middle,Surface15,Thyphlo Ruins,0,['Weapon_Sword_112'],1,,,"[-562.91, 233.76, -2913.49]",Table,['Default']
106058,MainField,E-2,0xa6c30e0ae62093e8,Enemy_Moriblin_Middle,Surface15,Thyphlo Ruins,0,['Weapon_Sword_106'],1,,,"[-820.16, 277.9, -2922.42]",Table,['Default']
106116,MainField,E-2,0x9ade52c81e88d6b8,Enemy_Moriblin_Middle,Surface16,Thyphlo Ruins,0,['Weapon_Lsword_108'],1,,,"[-214.95, 380.68, -2816.01]",Table,['Default']
106146,MainField,E-2,0x04f4c19c5aa7f3ab,Enemy_Moriblin_Middle,Surface60,Thyphlo Ruins,0,['Weapon_Lsword_106'],1,,,"[-889.52, 257.86, -2302.61]",Table,['Default']
106149,MainField,E-2,0x582db3cc9ee52367,Enemy_Moriblin_Middle,Surface60,Thyphlo Ruins,1,"['Weapon_Sword_108', 'Weapon_Shield_001']",1,,,"[-663.74, 329.77, -2191.27]",Table,['Default']
106181,MainField,E-2,0x984085fe24eec7c7,Enemy_Moriblin_Middle,Surface16,Thyphlo Ruins,0,"['Weapon_Sword_112', 'Weapon_Shield_002']",1,,,"[-451.47, 300.13, -2861.89]",Table,['Default']
106182,MainField,E-2,0x00290ee8f216ffbd,Enemy_Moriblin_Middle,Surface16,Thyphlo Ruins,0,['Weapon_Spear_125'],1,,,"[-322.5, 312.29, -2864.5]",Table,['Default']
108635,MainField,E-3,0x86c3603ee736fa6a,Enemy_Moriblin_Middle,Surface60,Lindor's Brow,0,['Weapon_Sword_112'],1,,,"[-850.62, 216.25, -1808.71]",Table,['Default']
116267,MainField,E-5,0xdb089ad716b42218,Enemy_Moriblin_Middle,Surface32,Hyrule Field,0,['Weapon_Lsword_106'],0,,,"[-747.5, 137.18, 824]",Table,['Default']
119070,MainField,E-5,0x8acc29e84068c29c,Enemy_Moriblin_Middle,Surface32,Hyrule Field,1,['Weapon_Bow_002'],1,,,"[-602.68, 145.73, 872.12]",Table,['Arrow']
119182,MainField,E-5,0x6fe83e6f7c4cbdd8,Enemy_Moriblin_Middle,Surface32,Hyrule Field,0,,1,,,"[-652.4, 146.31, 1039.88]",Table,['Default']
120325,MainField,E-6,0xcb0c969462af2118,Enemy_Moriblin_Middle,Surface70,Hyrule Field,0,"['Weapon_Sword_112', 'Weapon_Shield_002', 'Item_Mushroom_E']",0,,,"[-172.29, 113.28, 1677.27]",Table,['Default']
122044,MainField,E-6,0x1c226d7029d257d4,Enemy_Moriblin_Middle,Surface70,Hyrule Field,0,['Weapon_Spear_112'],0,,,"[-220.5, 112.85, 1700]",Table,['Default']
122053,MainField,E-6,0xe172add8fd31032a,Enemy_Moriblin_Middle,Surface32,Hyrule Field,0,['Weapon_Lsword_106'],0,,,"[-871, 127.06, 1098.5]",Table,['Default']
124991,MainField,E-6,0xa07ab1339f3a5e8a,Enemy_Moriblin_Middle,Surface70,Hyrule Field,1,,1,,,"[-342.94, 124.8, 1595.74]",Table,['Default']
125001,MainField,E-6,0xe2251e4b7545f750,Enemy_Moriblin_Middle,Surface32,Hyrule Field,0,"['Weapon_Sword_106', 'Weapon_Shield_002']",1,,,"[-445.5, 127.33, 1127]",Table,['Default']
