objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
7039,MainField,A-6,0x27e8b40c37c62561,Enemy_Octarock_Snow,Surface0,Gerudo Highlands,0,,0,,,"[-4462.2, 564.91, 1369.9]",Table,['Default']
7040,MainField,A-6,0x27e8b40c9a19d1f7,Enemy_Octarock_Snow,Surface0,Gerudo Highlands,0,,0,,,"[-4465.1, 567.13, 1348.6]",Table,['Default']
22615,MainField,B-3,0xd39a6877ae4c2338,Enemy_Octarock_Snow,Surface18,Lindor's Brow,0,,0,,,"[-3285.03, 224.99, -1660.62]",Table,['Default']
22616,MainField,B-3,0x5549c77a04f55a3a,Enemy_Octarock_Snow,Surface18,Lindor's Brow,0,,0,,,"[-3316.18, 224.91, -1644]",Table,['Default']
22617,MainField,B-3,0x0a1fdee4f00503d2,Enemy_Octarock_Snow,Surface18,Lindor's Brow,0,,0,,,"[-3326.89, 224.76, -1625.51]",Table,['Default']
31239,MainField,B-5,0xc5c323f90c78a7a0,Enemy_Octarock_Snow,Surface0,Gerudo Highlands,0,,0,,,"[-3466.55, 684.74, 993.86]",Table,['Default']
31240,MainField,B-5,0xaf878ae92381b8d8,Enemy_Octarock_Snow,Surface0,Gerudo Highlands,0,,0,,,"[-3451.7, 687.78, 984.56]",Table,['Default']
33403,MainField,B-6,0xdf797f266863f60f,Enemy_Octarock_Snow,Surface0,Gerudo Highlands,0,,0,,,"[-3911.54, 592.91, 1179.95]",Table,['Default']
33441,MainField,B-6,0x27e8b40c88a41980,Enemy_Octarock_Snow,Surface0,Gerudo Highlands,0,,0,,,"[-3276.72, 598.32, 1139.02]",Table,['Default']
33442,MainField,B-6,0x27e8b40ca7451f00,Enemy_Octarock_Snow,Surface0,Gerudo Highlands,0,,0,,,"[-3323.32, 605.19, 1153.86]",Table,['Default']
