objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,drop,pos
550802,MainField,Castle__Set_HyruleCastle_IslandGround_A ,0x5d8b83bb80f4ce1f,Enemy_PhantomGanon,Surface79,Lookout Landing,0,,1,,,,"[-244, 444.19, -1071.37]"
550803,MainField,Castle__Set_HyruleCastle_IslandGround_A ,0xeb9d4aa2b31bfcea,Enemy_PhantomGanon,Surface79,Lookout Landing,0,,1,,,,"[-248.5, 444.19, -1074.87]"
550804,MainField,Castle__Set_HyruleCastle_IslandGround_A ,0x2b19b02bbe6602a6,Enemy_PhantomGanon,Surface79,Lookout Landing,0,,1,,,,"[-254, 444.19, -1076.87]"
550805,MainField,Castle__Set_HyruleCastle_IslandGround_A ,0x4576870fe8de3669,Enemy_PhantomGanon,Surface79,Lookout Landing,0,,1,,,,"[-259.5, 444.19, -1074.87]"
550806,MainField,Castle__Set_HyruleCastle_IslandGround_A ,0x5f58865789d2f8c1,Enemy_PhantomGanon,Surface79,Lookout Landing,0,,1,,,,"[-264, 444.19, -1071.37]"
383190,MinusField,E-4,0x47637801cd90cec5,Enemy_PhantomGanon,Depths79,,0,,1,,,,"[-239.22, -2366.88, -726.77]"
383191,MinusField,E-4,0x9d55911f85ed9874,Enemy_PhantomGanon,Depths79,,0,,1,,,,"[-243.72, -2366.88, -730.27]"
383192,MinusField,E-4,0x51917b9ef826f208,Enemy_PhantomGanon,Depths79,,0,,1,,,,"[-249.22, -2366.88, -732.27]"
383193,MinusField,E-4,0x54e04a994d49678f,Enemy_PhantomGanon,Depths79,,0,,1,,,,"[-254.72, -2366.88, -730.27]"
383194,MinusField,E-4,0x2ac2fb32c14edc27,Enemy_PhantomGanon,Depths79,,0,,1,,,,"[-259.22, -2366.88, -726.77]"
