objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
94795,MainField,D-6,0x84ce3083c9b6cd21,Enemy_Wizzrobe_Electric_Senior,Surface46,Hyrule Field,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[-1396.87, 226.04, 1555.26]",Table,['Default']
109479,MainField,E-4,0x4ca255cb7e2429cc,Enemy_Wizzrobe_Electric_Senior,Surface79,Lookout Landing,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[-489.91, 160.09, -1043.01]",Table,['Default']
109480,MainField,E-4,0x2588ac3f1bcc6577,Enemy_Wizzrobe_Electric_Senior,Surface79,Lookout Landing,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[-10.3, 145.76, -1099.73]",Table,['Default']
109481,MainField,E-4,0xd5f24ba4d5a814c3,Enemy_Wizzrobe_Electric_Senior,Surface79,Lookout Landing,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[-44.61, 214.28, -824.36]",Table,['Default']
127281,MainField,E-7,0x4c507a70e1b85afd,Enemy_Wizzrobe_Electric_Senior,Surface46,Hyrule Field,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[-937.87, 279.41, 2104.86]",Table,['Default']
160593,MainField,F-7,0x0675ffc7ed06726a,Enemy_Wizzrobe_Electric_Senior,Surface29,Popla Foothills,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[822.48, 140.65, 2731.62]",Table,['Default']
165701,MainField,F-8,0x3843d221160555dc,Enemy_Wizzrobe_Electric_Senior,Surface59,Popla Foothills,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[984.16, 174.27, 3150.5]",Table,['Default']
199474,MainField,G-8,0x043b908e14608ff5,Enemy_Wizzrobe_Electric_Senior,Surface59,Popla Foothills,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[1951.02, 356.72, 3033]",Table,['Default']
201967,MainField,G-8,0x7bb67f6ee8c29ad4,Enemy_Wizzrobe_Electric_Senior,Surface59,Popla Foothills,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[1399.76, 258.61, 3501.97]",Table,['Default']
230768,MainField,H-7,0x649c28e39a408436,Enemy_Wizzrobe_Electric_Senior,Surface61,Rabella Wetlands,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[2318.32, 259.94, 2567.1]",Table,['Default']
277889,MainField,J-5,0x41d649ca72364206,Enemy_Wizzrobe_Electric_Senior,Surface68,Upland Zorana,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[4366.15, 150.67, 116.24]",Table,['Default']
277925,MainField,J-5,0x1a7762f68856ba66,Enemy_Wizzrobe_Electric_Senior,Surface68,Upland Zorana,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[4576.97, 159.98, 495.33]",Table,['Default']
497983,MainField,Sky__Map_SKy_Firone_SmallZonauRuins_Island_B_00 ,0x87f6b7bf9e897eb1,Enemy_Wizzrobe_Electric_Senior,Sky105,,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[988.95, 884.65, 2978.93]",Table,['Default']
