objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
31242,MainField,B-5,0x7cffa869f9500379,Enemy_Wizzrobe_Fire_Senior,Surface4,Gerudo Highlands,0,"['Weapon_Sword_161', 'FireFruit']",0,,,"[-3368.89, 503.71, 729.58]",Table,['Default']
31263,MainField,B-5,0x9d7a016b71dacf6d,Enemy_Wizzrobe_Fire_Senior,Surface4,Gerudo Highlands,0,"['Weapon_Sword_161', 'FireFruit']",0,,,"[-3754.18, 271.52, 147.85]",Table,['Default']
40352,MainField,B-7,0x030f96a4efe5a5c7,Enemy_Wizzrobe_Fire_Senior,Surface106,Gerudo Highlands,0,"['Weapon_Sword_112', 'FireFruit']",0,,,"[-3514.52, 267.8, 2001.93]",Table,['Default']
40551,MainField,B-7,0xbe1a08d3d2e9ce7e,Enemy_Wizzrobe_Fire_Senior,Surface106,Gerudo Highlands,0,"['Weapon_Sword_161', 'FireFruit']",0,,,"[-3585.69, 219.06, 2062.91]",Table,['Default']
72151,MainField,C-7,0x41feb6ea6a580c39,Enemy_Wizzrobe_Fire_Senior,Surface106,Gerudo Highlands,0,"['Weapon_Sword_161', 'FireFruit']",0,,,"[-2913.68, 241.33, 2129.59]",Table,['Default']
102671,MainField,D-8,0xec1e5e1f668aaf00,Enemy_Wizzrobe_Fire_Senior,Surface73,Gerudo Canyon,0,"['Weapon_Sword_161', 'FireFruit']",0,,,"[-1749.05, 222.88, 3203.18]",Table,['Default']
104206,MainField,E-1,0xd6ecf0d2d9d42090,Enemy_Wizzrobe_Fire,Surface16,Thyphlo Ruins,0,"['Weapon_Sword_106', 'FireFruit']",0,,,"[-146.38, 247.78, -3085.72]",Table,['Default']
123028,MainField,E-6,0x03c0bb0d918ec50a,Enemy_Wizzrobe_Fire,Surface70,Hyrule Field,0,"['Weapon_Sword_106', 'FireFruit']",0,,,"[-57.89, 120.77, 1558.67]",Table,['Default']
133501,MainField,F-1,0xca77ffcd39966540,Enemy_Wizzrobe_Fire,Surface89,Thyphlo Ruins,0,"['Weapon_Sword_106', 'FireFruit']",0,,,"[780.39, 328.04, -3184.29]",Table,['Default']
144958,MainField,F-4,0xbd7a9b449521ecf8,Enemy_Wizzrobe_Fire,Surface41,Sahasra Slope,0,"['Weapon_Sword_106', 'FireFruit']",0,,,"[421.69, 128.04, -683.5]",Table,['Default']
144959,MainField,F-4,0xeb45c1a2b97e537b,Enemy_Wizzrobe_Fire,Surface41,Sahasra Slope,0,"['Weapon_Sword_106', 'FireFruit']",0,,,"[978.48, 166.49, -864.6]",Table,['Default']
172588,MainField,G-2,0x81424ed9e8f217ea,Enemy_Wizzrobe_Fire,Surface89,Thyphlo Ruins,0,"['Weapon_Sword_106', 'FireFruit']",0,,,"[1015.62, 381.19, -2770.18]",Table,['Default']
179082,MainField,G-3,0x0f655986a21e081d,Enemy_Wizzrobe_Fire,Surface66,Eldin Canyon,0,"['Weapon_Sword_106', 'FireFruit']",0,,,"[1954.93, 460.19, -1804.87]",Table,['Default']
180014,MainField,G-3,0x973503824f46f0eb,Enemy_Wizzrobe_Fire,Surface66,Eldin Canyon,0,"['Weapon_Sword_106', 'FireFruit']",0,,,"[1774.21, 407.3, -1792.48]",Table,['Default']
184292,MainField,G-4,0x075043ad69adf8db,Enemy_Wizzrobe_Fire,Surface92,Eldin Canyon,0,"['Weapon_Sword_106', 'FireFruit']",0,,,"[1724.81, 185.97, -963.03]",Table,['Default']
196947,MainField,G-7,0xbfc8428d07e67e8b,Enemy_Wizzrobe_Fire,Surface1,Rabella Wetlands,0,"['Weapon_Sword_106', 'FireFruit']",0,,,"[1847.35, 125.7, 2064.65]",Table,['Default']
209481,MainField,H-2,0xd4e7226c401158a2,Enemy_Wizzrobe_Fire,Surface66,Eldin Canyon,0,"['Weapon_Sword_106', 'FireFruit']",0,,,"[2303.09, 512.67, -2055.26]",Table,['Default']
