objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
21508,MainField,B-2,0xa5f6fc3fe7deea6d,Enemy_Zonau_Golem_Junior,Surface3,Rospro Pass,1,,1,,,"[-3744.81, 250.92, -2210.12]",Table,['Arrow']
48659,MainField,C-1,0xc78444ecebf79f46,Enemy_Zonau_Golem_Junior,Surface3,Pikida Stonegrove,1,,1,,,"[-2438.06, 550.32, -3095.67]",Table,['Arrow']
56640,MainField,C-3,0xb0af6d04eb7e477b,Enemy_Zonau_Golem_Junior,Surface31,Lindor's Brow,1,,1,,,"[-2527.99, 363.75, -1692.83]",Table,['Arrow']
65187,MainField,C-5,0xaae4e6bf095c2cc7,Enemy_Zonau_Golem_Junior,Surface80,Gerudo Highlands,1,,1,,,"[-2949.89, 171.73, 321.78]",Table,['Arrow']
85260,MainField,D-3,0x5e301b74c15d94aa,Enemy_Zonau_Golem_Junior,Surface81,Lindor's Brow,0,,1,,,"[-1456.79, 245.04, -1277.72]",Table,['Arrow']
134766,MainField,F-1,0xf931da4547fcc141,Enemy_Zonau_Golem_Junior,Surface16,Thyphlo Ruins,0,,1,,,"[536.48, 297.95, -3241.8]",Table,['Arrow']
134915,MainField,F-1,0x916f460cfe44d9bb,Enemy_Zonau_Golem_Junior,Surface16,Thyphlo Ruins,1,,1,,,"[457.56, 289.14, -3332.74]",Table,['Arrow']
147034,MainField,F-4,0xb86db32d43b09fab,Enemy_Zonau_Golem_Junior,Surface6,Lookout Landing,0,,1,,,"[295.4, 142.38, -183.08]",Table,['Arrow']
147099,MainField,F-4,0x2cfc6807e59a253e,Enemy_Zonau_Golem_Junior,Surface6,Lookout Landing,1,,1,,,"[503.39, 132.95, -80.62]",Table,['Arrow']
185730,MainField,G-4,0xf822a4ab398d682c,Enemy_Zonau_Golem_Junior,Surface17,Eldin Canyon,1,,1,,,"[1681.78, 119.84, -590.53]",Table,['Arrow']
194423,MainField,G-6,0x55e42a33a735e2f6,Enemy_Zonau_Golem_Junior,Surface1,Rabella Wetlands,1,,1,,,"[1899.73, 123.88, 1733.73]",Table,['Arrow']
500323,MainField,Sky__Pln_Fld_Rito_SkyField_Start_01 ,0x7be1931e219e8de9,Enemy_Zonau_Golem_Junior,Sky3,,1,,1,,,"[-3045.24, 1208.67, -3151.44]",Table,['Arrow']
500334,MainField,Sky__Pln_Fld_Rito_SkyField_Start_01 ,0xd083059d80722255,Enemy_Zonau_Golem_Junior,Sky3,,0,,1,,,"[-3367.49, 1098.3, -3433.64]",Table,['Arrow']
517951,MainField,Sky__StartIslandMerge2 ,0xca6ad37d844d81cc,Enemy_Zonau_Golem_Junior,Sky94,,0,,0,,,"[278.35, 1453.82, 1699.25]",Table,['Default']
520125,MainField,Sky__StartIslandMerge2 ,0x68798f8f88fdf117,Enemy_Zonau_Golem_Junior,Sky94,,1,,1,,,"[462.75, 1514.09, 1605.19]",Table,['Arrow']
520302,MainField,Sky__StartIslandMerge2 ,0x35bd0c79bbf74872,Enemy_Zonau_Golem_Junior,Sky106,,1,,1,,,"[681.01, 1593.72, 1443.63]",Table,['Arrow']
520342,MainField,Sky__StartIslandMerge2 ,0x84e5b7e44c215358,Enemy_Zonau_Golem_Junior,Sky106,,0,,1,,,"[816.21, 1670.1, 1455.54]",Table,['Default']
520349,MainField,Sky__StartIslandMerge2 ,0x8b8794b694997f47,Enemy_Zonau_Golem_Junior,Sky106,,0,,1,,,"[828.6, 1670.11, 1447.48]",Table,['Default']
552496,MainField,LargeDungeon__LargeDungeonWind ,0x25a1b2f592977b0c,Enemy_Zonau_Golem_Junior,Sky3,,1,,1,,,"[-2851.5, 1593.43, -2952.5]",Table,['Arrow']
