objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
79858,MainField,D-2,0x64b83d15be2d4d0f,Enemy_Zonau_Golem_Middle,Surface5,Pikida Stonegrove,1,['Weapon_Sword_021'],0,,,"[-1977.33, 359.61, -2139.94]",Table,['Arrow']
96631,MainField,D-6,0xd3d1828f6d2765d1,Enemy_Zonau_Golem_Middle,Surface32,Hyrule Field,1,,1,,,"[-1571.47, 143.64, 1489.48]",Table,['Arrow']
128395,MainField,E-7,0x6dbb0bf9c712f48b,Enemy_Zonau_Golem_Middle,Surface25,Popla Foothills,1,,1,,,"[-813.67, 225.71, 2854.31]",Table,['Arrow']
157150,MainField,F-6,0x55d567ca729e50b0,Enemy_Zonau_Golem_Middle,Surface49,Popla Foothills,0,,1,,,"[449.62, 116.24, 1601.27]",Table,['Arrow']
162132,MainField,F-7,0x7741ad1434a9a6be,Enemy_Zonau_Golem_Middle,Surface29,Popla Foothills,1,['Weapon_Sword_101'],1,,,"[908.58, 118.24, 2725.57]",Table,['Arrow']
224062,MainField,H-5,0x68770c4b3f58b4c6,Enemy_Zonau_Golem_Middle,Surface11,Sahasra Slope,1,,1,,,"[2463.89, 310.06, 796.21]",Table,['Arrow']
227904,MainField,H-6,0x3ccbb9b083de59c7,Enemy_Zonau_Golem_Middle,Surface13,Sahasra Slope,0,['Weapon_Sword_101'],1,,,"[2244.78, 130.16, 1439.54]",Table,['Arrow']
228111,MainField,H-6,0xc4dcfccf8ac84db1,Enemy_Zonau_Golem_Middle,Surface13,Sahasra Slope,1,,1,,,"[2226.44, 126.78, 1445.27]",Table,['Arrow']
243592,MainField,I-2,0xaf0fd6630199ab9d,Enemy_Zonau_Golem_Middle,Surface2,Ulri Mountain,0,,1,,,"[3272.93, 265.38, -2013.93]",Table,['Arrow']
243595,MainField,I-2,0x2b1a9e2bd2ff3255,Enemy_Zonau_Golem_Middle,Surface2,Ulri Mountain,1,,1,,,"[3262.12, 261.65, -2019.25]",Table,['Arrow']
500631,MainField,Sky__Pln_Fld_Zora_SkyField_Before_DungeonWay ,0x03ee8766a70207a1,Enemy_Zonau_Golem_Middle,Sky34,,1,['SpObj_FlameThrower_A_01'],1,,,"[3335.57, 1458.7, -541.76]",Table,['Arrow']
552126,MainField,LargeDungeon__LargeDungeonWater_AllinArea ,0xb1909d49ebc3880e,Enemy_Zonau_Golem_Middle,Sky34,,0,,1,,,"[3372.52, 1848.1, -730.18]",Table,['Arrow']
552843,MinusField,LargeDungeon__LargeDungeonFire ,0x75caa7401aac5257,Enemy_Zonau_Golem_Middle,Depths103,,1,,0,,,"[1365.97, -650, -2802.75]",Table,['Minus']
