objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
79857,MainField,D-2,0xb7e189468e4bae4b,Enemy_Zonau_Robot_Junior_Lookout,Surface5,Pikida Stonegrove,0,"['Weapon_Sword_168', 'Weapon_Shield_107']",0,,,"[-1985.79, 357.02, -2132.85]",Table,['Default']
79859,MainField,D-2,0x3540207caa0e72c0,Enemy_Zonau_Robot_Junior_Lookout,Surface5,Pikida Stonegrove,0,"['Weapon_Sword_168', 'Weapon_Shield_107']",0,,,"[-1988.7, 357.02, -2139.96]",Table,['Default']
79860,MainField,D-2,0x99493822b5fd2354,Enemy_Zonau_Robot_Junior_Lookout,Surface5,Pikida Stonegrove,0,['Weapon_Sword_168'],0,,,"[-1989.74, 357.07, -2135.54]",Table,['Default']
85263,MainField,D-3,0x92a3399d5b6f0086,Enemy_Zonau_Robot_Junior_Lookout,Surface81,Lindor's Brow,0,"['Weapon_Sword_168', 'Weapon_Shield_107', 'SpObj_LiftGeneratorWing_A_01']",1,,,"[-1445.17, 244.45, -1283.46]",Table,['Default']
134680,MainField,F-1,0x16d735db429c7c9b,Enemy_Zonau_Robot_Junior_Lookout_Mile,Surface88,Thyphlo Ruins,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[365.61, 338.35, -3121.33]",Table,['Default']
134684,MainField,F-1,0x1dd937d0cffb92a6,Enemy_Zonau_Robot_Junior_Lookout_Mile,Surface88,Thyphlo Ruins,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[329.65, 362.24, -3125.99]",Table,['Default']
134688,MainField,F-1,0x651cc34517d200c1,Enemy_Zonau_Robot_Junior_Lookout_Mile,Surface88,Thyphlo Ruins,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[318.17, 302.06, -3140.97]",Table,['Default']
147048,MainField,F-4,0x3843b1ef4d5792f8,Enemy_Zonau_Robot_Junior_Lookout,Surface6,Lookout Landing,0,['Weapon_Bow_107'],1,,,"[278.7, 144.39, -174.19]",Table,['Arrow']
147104,MainField,F-4,0x177c24e10c36ebf4,Enemy_Zonau_Robot_Junior_Lookout,Surface6,Lookout Landing,0,"['Weapon_Sword_021', 'Weapon_Shield_021']",1,,,"[488.69, 133.78, -88.61]",Table,['Default']
502178,MainField,Sky__Set_SkyIsland_Akkare_J-2_Sky ,0xf67a51d7339e572c,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky102,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[4622.11, 1486.52, -2060.39]",Table,['Default']
502183,MainField,Sky__Set_SkyIsland_Akkare_J-2_Sky ,0xb40e53dc5f37e150,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky54,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[4616.58, 1347.3, -2138.79]",Table,['Default']
503087,MainField,Sky__Set_SkyIsland_CentralHyrule_D-6_Sky ,0x7da82ad67acbd552,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky46,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-838.56, 966.99, 1551.38]",Table,['Default']
503095,MainField,Sky__Set_SkyIsland_CentralHyrule_D-6_Sky ,0xe9dc8c74b9ff2a5c,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky46,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-831.51, 1041.79, 1641.43]",Table,['Default']
503112,MainField,Sky__Set_SkyIsland_CentralHyrule_D-6_Sky ,0xcec78b0152658e4d,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky46,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-1173.97, 1113.87, 1634.06]",Table,['Default']
504619,MainField,Sky__Set_SkyIsland_Firone_F-7_Sky ,0xf90e8baf3eced1f7,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky49,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[945.43, 665.73, 2088.62]",Table,['Default']
505366,MainField,Sky__Set_SkyIsland_Firone_H-7_Sky_North ,0x80749950142efeb2,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky13,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[2612.1, 1586.72, 1455.05]",Table,['Default']
506921,MainField,Sky__Set_SkyIsland_Hebra_D-1_Sky ,0x21c7d8bda4c26641,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky100,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-2073.82, 1058.88, -3264.65]",Table,['Default']
506925,MainField,Sky__Set_SkyIsland_Hebra_D-1_Sky ,0x29829d2d21f8a976,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky99,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-1936.05, 1058.88, -3263.23]",Table,['Default']
506929,MainField,Sky__Set_SkyIsland_Hebra_D-1_Sky ,0x5e3f7d5299ee5a6b,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky99,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-1886.25, 1058.88, -3377]",Table,['Default']
506937,MainField,Sky__Set_SkyIsland_Hebra_D-1_Sky ,0x6ceaf43266713abe,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky99,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-1830.87, 1058.88, -3305]",Table,['Default']
506944,MainField,Sky__Set_SkyIsland_Hebra_D-1_Sky ,0x98bbf26c872752a4,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky99,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-1996.67, 1058.88, -3304.53]",Table,['Default']
509757,MainField,Sky__Set_SkyIsland_Lanayru_J-5_Sky ,0xaeb7cd6cbc1f29de,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky57,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[4643.09, 1899.08, 831.55]",Table,['Default']
509787,MainField,Sky__Set_SkyIsland_Lanayru_J-5_Sky ,0x25c7ac88f8dec223,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky57,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[4748.16, 1923.63, 869.4]",Table,['Default']
509791,MainField,Sky__Set_SkyIsland_Lanayru_J-5_Sky ,0xdac6c9b7d4531f64,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky57,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[4751.03, 1979.25, 826.44]",Table,['Default']
509795,MainField,Sky__Set_SkyIsland_Lanayru_J-5_Sky ,0xa37ad1033a6ebee1,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky57,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[4792.37, 1964.93, 875.6]",Table,['Default']
509813,MainField,Sky__Set_SkyIsland_Lanayru_J-5_Sky ,0x86ff745f682a5dae,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky38,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[4076.09, 1590.13, 1072.67]",Table,['Default']
509817,MainField,Sky__Set_SkyIsland_Lanayru_J-5_Sky ,0x0188d8adecd82821,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky38,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[4071.59, 1566.5, 1036.07]",Table,['Default']
509821,MainField,Sky__Set_SkyIsland_Lanayru_J-5_Sky ,0x9c26faf1e55a881a,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky38,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[4156, 1724.69, 1064]",Table,['Default']
509825,MainField,Sky__Set_SkyIsland_Lanayru_J-5_Sky ,0x172f22e235e9d16c,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky38,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[4159.25, 1700.93, 1022.63]",Table,['Default']
509829,MainField,Sky__Set_SkyIsland_Lanayru_J-5_Sky ,0xf9c8a12a12ab07ba,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky11,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[4348.82, 1841.41, 1040]",Table,['Default']
509833,MainField,Sky__Set_SkyIsland_Lanayru_J-5_Sky ,0x4f1815f03f3df65d,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky57,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[4349.43, 1876.98, 986.38]",Table,['Default']
509837,MainField,Sky__Set_SkyIsland_Lanayru_J-5_Sky ,0xd267a6a3b41fde76,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky57,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[4367.01, 1866.86, 1016.22]",Table,['Default']
509841,MainField,Sky__Set_SkyIsland_Lanayru_J-5_Sky ,0xd628911476388e87,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky57,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[4553.63, 1909.13, 992.63]",Table,['Default']
509845,MainField,Sky__Set_SkyIsland_Lanayru_J-5_Sky ,0x7ca911bff7198302,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky57,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[4479.38, 1923.75, 1048]",Table,['Default']
509849,MainField,Sky__Set_SkyIsland_Lanayru_J-5_Sky ,0xba6cc48a0be7a9bc,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky57,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[4596.59, 1924.62, 1042.45]",Table,['Default']
511818,MainField,Sky__Set_SkyIsland_Tabanta_B-4_Sky ,0xc2cac80a33155814,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky42,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3830.12, 1634.08, -768.82]",Table,['Default']
511823,MainField,Sky__Set_SkyIsland_Tabanta_B-4_Sky ,0x9e3dac4cbc0bb8d3,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky42,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3873.92, 1810.92, -594.98]",Table,['Default']
512655,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0x1bf8a39afb870e97,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky0,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3898.29, 1849, 821.05]",Table,['Default']
512659,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0xe4b538cf5632cbd8,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky0,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-4039.45, 1882.96, 418.46]",Table,['Default']
512663,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0x1be7db358e48d0a0,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky0,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3661.05, 1818.29, 951.26]",Table,['Default']
512667,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0xdc15914da4f34d74,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky4,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3381.84, 1913.21, 749.95]",Table,['Default']
512671,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0x75d24de57a73e50f,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky0,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3961.67, 1874.15, 720.1]",Table,['Default']
512675,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0xe3d4b834cdb7ddd2,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky4,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3931.61, 2050, 187.91]",Table,['Default']
512679,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0xc408c420b75e4324,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky0,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-4034.6, 1958.5, 280.23]",Table,['Default']
512683,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0x335ab622b5db254c,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky80,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3434.48, 2189.47, 8.03]",Table,['Default']
512687,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0x61f01f713bab5a55,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky4,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3215.86, 1944, 686.89]",Table,['Default']
512691,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0x03d2cbee94f1533a,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky0,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3994.8, 1884.84, 669.09]",Table,['Default']
512695,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0xbefc7a15a6b17991,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky4,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3845.17, 2074.08, 69.93]",Table,['Default']
512699,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0x80b4f93f2a6f37bb,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky0,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-4077.61, 1862, 528.27]",Table,['Default']
512703,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0x39f668ba5e7ba9f1,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky80,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3571.47, 2182, 2.86]",Table,['Default']
512707,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0x71be8ce4e003fc24,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky27,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3284.37, 2163.5, 80.61]",Table,['Default']
512711,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0x148e8d45ab2e6720,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky80,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3344.41, 2224.21, 58.12]",Table,['Default']
512715,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0x677df75afe339bee,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky27,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3167.14, 2064.64, 291.26]",Table,['Default']
512719,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0xa584d990c328c8e4,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky4,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3191.61, 1956.56, 490.87]",Table,['Default']
512723,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0x91428859dbb09ab5,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky27,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3092.33, 2022.3, 385.28]",Table,['Default']
512727,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0xb06099a7aa9e7971,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky0,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3485.68, 1860.83, 882.99]",Table,['Default']
512731,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0xad7c2a6d8882eba5,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky80,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3502.65, 2173.22, 8.86]",Table,['Default']
512735,MainField,Sky__Set_SkyIsland_gerudo_A-6_Sky ,0x4ab3e646ccf4a33d,Enemy_Zonau_Robot_Junior_Lookout_Mile,Sky0,,0,"['Weapon_Bow_104', 'SpObj_Rocket_A_01']",1,,,"[-3734.75, 1819.6, 915.04]",Table,['Default']
514216,MainField,Sky__StartIslandMerge2 ,0x4ad10cdc8368db78,Enemy_Zonau_Robot_Junior_Lookout,Sky94,,0,['Weapon_Spear_168'],0,,,"[450.66, 1520.26, 1086.93]",Table,['Default']
514217,MainField,Sky__StartIslandMerge2 ,0xacfcffabca14d289,Enemy_Zonau_Robot_Junior_Lookout,Sky94,,0,['Weapon_Sword_168'],0,,,"[452.12, 1520.48, 1092.24]",Table,['Default']
514878,MainField,Sky__StartIslandMerge2 ,0x25e36140af1a7834,Enemy_Zonau_Robot_Junior_Lookout,Sky94,,0,['Weapon_Bow_107'],0,,,"[359.96, 1535.2, 923.68]",Table,['ArrowFirst']
517283,MainField,Sky__StartIslandMerge2 ,0xd114b92742c8635a,Enemy_Zonau_Robot_Junior_Lookout,Sky106,,0,"['Weapon_Bow_107', 'IceFruit']",0,,,"[547.67, 1558.93, 1396.94]",Table,['Ice']
