objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
9376,MainField,A-6,0x3ab8f98bd9725c0e,Enemy_Zonau_Robot_Middle_Lookout,Surface4,Gerudo Highlands,0,"['Weapon_Sword_108', 'Weapon_Shield_107', 'SpObj_LightMirror_A_01']",1,,,"[-4313.68, 411.08, 1493.09]",Table,['Default']
21507,MainField,B-2,0x6c7e024147778440,Enemy_Zonau_Robot_Middle,Surface3,Rospro Pass,0,"['Weapon_Sword_101', 'Weapon_Shield_101', 'SpObj_FlameThrower_A_01']",1,,,"[-3745.24, 250.2, -2204.74]",Table,['Default']
21509,MainField,B-2,0xa8bcfa127232dc91,Enemy_Zonau_Robot_Middle_Lookout,Surface3,Rospro Pass,0,"['Weapon_Sword_168', 'Weapon_Shield_107']",1,,,"[-3735.5, 250.1, -2209.95]",Table,['Default']
21510,MainField,B-2,0x04da506d6e5613b3,Enemy_Zonau_Robot_Middle,Surface3,Rospro Pass,0,['Weapon_Spear_108'],1,,,"[-3742.94, 250.61, -2216.35]",Table,['Default']
27563,MainField,B-4,0xf599556eb08ffd00,Enemy_Zonau_Robot_Middle,Surface42,Lindor's Brow,0,['Weapon_Sword_101'],0,,,"[-3611.12, 379.87, -999.02]",Table,['Default']
37667,MainField,B-6,0x8cd83ef527924d59,Enemy_Zonau_Robot_Middle_Lookout,Surface0,Gerudo Highlands,0,['Weapon_Bow_105'],1,,,"[-3466.13, 629.82, 1153.77]",Table,['Arrow']
48585,MainField,C-1,0x75cf807e1a9e46a0,Enemy_Zonau_Robot_Middle_Lookout,Surface3,Pikida Stonegrove,0,['Weapon_Spear_101'],1,,,"[-2422.76, 546.1, -3070.68]",Table,['Default']
48618,MainField,C-1,0x9c3560e365b79234,Enemy_Zonau_Robot_Middle_Lookout,Surface3,Pikida Stonegrove,0,['Weapon_Bow_105'],1,,,"[-2436.86, 554.11, -3084.5]",Table,['Arrow']
48637,MainField,C-1,0x5188cb76dd30c319,Enemy_Zonau_Robot_Middle_Lookout,Surface3,Pikida Stonegrove,0,"['Weapon_Sword_101', 'Weapon_Shield_101']",1,,,"[-2449.68, 549.74, -3085.13]",Table,['Default']
50687,MainField,C-2,0x8174ef5e928f58f2,Enemy_Zonau_Robot_Middle,Surface3,Rospro Pass,0,['Weapon_Bow_105'],0,,,"[-2748.06, 752.48, -2808.97]",Table,['Arrow']
50688,MainField,C-2,0x29853068be3e5914,Enemy_Zonau_Robot_Middle,Surface3,Rospro Pass,1,['Weapon_Sword_108'],0,,,"[-2736.96, 752.5, -2818.88]",Table,['Default']
50689,MainField,C-2,0xf7f0934144d61012,Enemy_Zonau_Robot_Middle,Surface3,Rospro Pass,0,['Weapon_Spear_168'],0,,,"[-2730.46, 753.21, -2814.88]",Table,['Default']
52710,MainField,C-2,0x14560f9e502e20a1,Enemy_Zonau_Robot_Middle,Surface3,Rospro Pass,0,['Weapon_Bow_105'],1,,,"[-2838.59, 708.56, -2948.21]",Table,['Arrow']
52848,MainField,C-2,0x573c575ba402d379,Enemy_Zonau_Robot_Middle_Lookout,Surface3,Rospro Pass,0,['Weapon_Lsword_168'],1,,,"[-2853.99, 671.21, -2909.42]",Table,['Default']
52849,MainField,C-2,0x3d97c83bf3d6c6b1,Enemy_Zonau_Robot_Middle,Surface3,Rospro Pass,1,['Weapon_Spear_021'],1,,,"[-2864.86, 672.27, -2920.5]",Table,['Default']
52850,MainField,C-2,0xa855fd8aeb370a00,Enemy_Zonau_Robot_Middle,Surface3,Rospro Pass,0,"['Weapon_Sword_108', 'Weapon_Shield_107', 'SpObj_FlameThrower_A_01']",1,,,"[-2861.35, 672.36, -2910.4]",Table,['Default']
56636,MainField,C-3,0x676dc101dfbf311c,Enemy_Zonau_Robot_Middle,Surface31,Lindor's Brow,0,"['Weapon_Spear_108', 'SpObj_FlameThrower_A_01']",1,,,"[-2517.93, 360.59, -1684.34]",Table,['Default']
56637,MainField,C-3,0x6bda56f4ea346986,Enemy_Zonau_Robot_Middle,Surface31,Lindor's Brow,1,"['Weapon_Sword_168', 'Weapon_Shield_107']",1,,,"[-2522.54, 362.3, -1693.48]",Table,['Default']
65166,MainField,C-5,0x1552e79c50d9a944,Enemy_Zonau_Robot_Middle,Surface80,Gerudo Highlands,0,['Weapon_Lsword_101'],1,,,"[-2943.01, 170.63, 323.93]",Table,['Default']
65172,MainField,C-5,0x5e8ca724ff85a824,Enemy_Zonau_Robot_Middle,Surface80,Gerudo Highlands,0,"['Weapon_Sword_101', 'Weapon_Shield_101', 'SpObj_SnowMachine_A_01']",1,,,"[-2935.89, 171.02, 320.36]",Table,['Default']
65175,MainField,C-5,0xae0152831c1e2c62,Enemy_Zonau_Robot_Middle_Lookout,Surface80,Gerudo Highlands,0,"['Weapon_Sword_108', 'Weapon_Shield_107', 'SpObj_LightMirror_A_01']",1,,,"[-2942.35, 172.09, 313.59]",Table,['Default']
96630,MainField,D-6,0x3f3cf201a9d258de,Enemy_Zonau_Robot_Middle,Surface32,Hyrule Field,0,"['Weapon_Sword_168', 'Weapon_Shield_107', 'SpObj_Beamos_A_01', 'SpObj_Chaser_A_01']",1,,,"[-1576.59, 142.54, 1507.72]",Table,['Default']
96632,MainField,D-6,0xe9a29b1f2fb8a9cb,Enemy_Zonau_Robot_Middle,Surface32,Hyrule Field,1,"['Weapon_Sword_168', 'Weapon_Shield_107', 'SpObj_Beamos_A_01']",1,,,"[-1551.84, 141.76, 1474.57]",Table,['Default']
96645,MainField,D-6,0x5d0fbc2f6e40a153,Enemy_Zonau_Robot_Middle_Lookout,Surface32,Hyrule Field,0,['Weapon_Bow_105'],1,,,"[-1578.64, 146.76, 1470.26]",Table,['Arrow']
96646,MainField,D-6,0xbe260c0c00855566,Enemy_Zonau_Robot_Middle,Surface32,Hyrule Field,0,['Weapon_Lsword_108'],1,,,"[-1591.61, 143.01, 1490.32]",Table,['Default']
