objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value,drop
40397,MainField,B-7,0x3545ba5b13329693,MiasmaSwarm,Surface106,Gerudo Highlands,0,,0,,,"[-3392.72, 150.3, 2024.39]",Table,['Default'],
40398,MainField,B-7,0xb333999bb8b8d4af,MiasmaSwarm,Surface72,Gerudo Highlands,0,,0,,,"[-3308.69, 128.05, 2195.03]",Table,['Default'],
40399,MainField,B-7,0x4684bc4eee469bb3,MiasmaSwarm,Surface72,Gerudo Highlands,0,,0,,,"[-3212.65, 132.34, 2003.04]",Table,['Default'],
42721,MainField,B-7,0x9a282aa1b7f320bb,ForbidAutoPlacementAreaOnlySphere,Surface106,Gerudo Highlands,0,,1,,,"[-3392.72, 150.3, 2024.39]",,,
42722,MainField,B-7,0x8cdebe808b6952af,Area,Surface106,Gerudo Highlands,0,,1,,,"[-3392.72, 40.3, 2024.39]",,,
42723,MainField,B-7,0x087ddf425295ee60,ForbidAutoPlacementAreaOnlySphere,Surface72,Gerudo Highlands,0,,1,,,"[-3308.69, 128.05, 2195.03]",,,
42724,MainField,B-7,0x354c50e330f290ca,Area,Surface72,Gerudo Highlands,0,,1,,,"[-3308.69, 18.05, 2195.03]",,,
42725,MainField,B-7,0x2169383e63c4210a,ForbidAutoPlacementAreaOnlySphere,Surface72,Gerudo Highlands,0,,1,,,"[-3212.65, 132.34, 2003.04]",,,
42726,MainField,B-7,0x1f20a537673f51a7,Area,Surface72,Gerudo Highlands,0,,1,,,"[-3212.65, 22.34, 2003.04]",,,
58787,MainField,C-4,0x99a6db447dfbf1d7,MiasmaSwarm,Surface63,Lindor's Brow,0,,0,,,"[-2266.34, 237.04, -326.27]",Table,['Default'],
58929,MainField,C-4,0x589a6fc3fed5f87c,MiasmaSwarm,Surface63,Lindor's Brow,0,,0,,,"[-2118.93, 239.98, -338.97]",Table,['Default'],
60425,MainField,C-4,0x72cfdd9809acc72f,ForbidAutoPlacementAreaOnlySphere,Surface63,Lindor's Brow,0,,1,,,"[-2266.34, 237.04, -326.27]",,,
60426,MainField,C-4,0x5f1e5199c632d25b,Area,Surface63,Lindor's Brow,0,,1,,,"[-2266.34, 127.04, -326.27]",,,
60619,MainField,C-4,0x229806b225a82615,ForbidAutoPlacementAreaOnlySphere,Surface63,Lindor's Brow,0,,1,,,"[-2118.93, 239.98, -338.97]",,,
60620,MainField,C-4,0x095389b362820cfe,Area,Surface63,Lindor's Brow,0,,1,,,"[-2118.93, 129.98, -338.97]",,,
83905,MainField,D-3,0x85a85b3e267d4860,MiasmaSwarm,Surface26,Lindor's Brow,0,,0,,,"[-1781.06, 211.97, -1682.36]",Table,['Default'],
93987,MainField,D-6,0x886281b90d973a58,MiasmaSwarm,Surface46,Hyrule Field,0,,0,,,"[-1292.34, 191.34, 1633.19]",Table,['Default'],
98744,MainField,D-7,0x12ea4659c944b59e,MiasmaSwarm,Surface95,Popla Foothills,0,,0,,,"[-1240.54, 172.5, 2548.07]",Table,['Default'],
103525,MainField,D-8,0x918c992998db6cbf,Area,Surface73,Gerudo Canyon,0,,1,,,"[-1795.2, 146.45, 3466.85]",,,
103526,MainField,D-8,0x1bf2f6181d37c2b1,Area,Surface73,Gerudo Canyon,0,,1,,,"[-1795.12, 175.83, 3457.5]",,,
103527,MainField,D-8,0xe175f2d4785b3295,Area,Surface73,Gerudo Canyon,0,,1,,,"[-1771.66, 166.99, 3457.5]",,,
103528,MainField,D-8,0xcbeae401e025e132,MiasmaSwarm,Surface73,Gerudo Canyon,0,,1,,,"[-1796.05, 177.05, 3501.8]",Table,['Default'],
104076,MainField,E-1,0xd06a3c33a6566eb7,MiasmaSwarm,Surface99,Pikida Stonegrove,0,,0,,,"[-825.1, 345, -3560]",Table,['Default'],
105389,MainField,E-2,0xb8f3a0dd87e7ba58,MiasmaSwarm,Surface60,Thyphlo Ruins,0,,0,,,"[-264.19, 247.72, -2205.43]",Table,['Default'],
105390,MainField,E-2,0xfbe615ae82de86ea,Enemy_Wizzrobe_Electric,Surface60,Thyphlo Ruins,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[-251.34, 250.58, -2198.37]",Table,['Default'],
106138,MainField,E-2,0xaf02dd2a6fd560ec,ForbidAutoPlacementAreaOnlySphere,Surface60,Thyphlo Ruins,0,,1,,,"[-264.19, 247.72, -2205.43]",,,
106139,MainField,E-2,0xfcdc6a35a36e9d9e,Area,Surface60,Thyphlo Ruins,0,,1,,,"[-264.19, 137.72, -2205.43]",,,
106140,MainField,E-2,0xf28097c4318584d7,ForbidAutoPlacementAreaOnlySphere,Surface60,Thyphlo Ruins,0,,1,,,"[-251.32, 247.57, -2198.6]",,,
106141,MainField,E-2,0xd1f67328c2b8ec4e,Area,Surface60,Thyphlo Ruins,0,,1,,,"[-250.94, 197.74, -2202.38]",,,
109112,MainField,E-4,0x1f26ea97019c73c0,MiasmaSwarm,Surface79,Lookout Landing,0,,0,,,"[-501.49, 126.08, -1013.53]",Table,['Default'],
109526,MainField,E-4,0x416b0662b048d11e,MiasmaSwarm,Surface79,Lookout Landing,0,,0,,,"[-207.16, 129.45, -1199.97]",Table,['Default'],
114658,MainField,E-4,0x9f47d6fb95696c76,MiasmaSwarm,Surface76,Lookout Landing,0,,1,,,"[-618.39, 126.77, -437.03]",Table,['Default'],
114659,MainField,E-4,0x3140594860f98190,ForbidAutoPlacementAreaOnlySphere,Surface76,Lookout Landing,0,,1,,,"[-618.39, 126.77, -437.03]",,,
114660,MainField,E-4,0x0a7bcfe7a362fc2a,Area,Surface76,Lookout Landing,0,,1,,,"[-614.85, 16.86, -439.57]",,,
114661,MainField,E-4,0x979a60ae5fdb1692,MiasmaSwarm,Surface76,Lookout Landing,0,,1,,,"[-86.41, 133, -334.9]",Table,['Default'],
114662,MainField,E-4,0x8d7ef137e929d038,ForbidAutoPlacementAreaOnlySphere,Surface76,Lookout Landing,0,,1,,,"[-86.41, 133, -334.9]",,,
114663,MainField,E-4,0xbb8c02be26d02553,Area,Surface76,Lookout Landing,0,,1,,,"[-81.76, 23.17, -330.89]",,,
117507,MainField,E-5,0xc93b699f1eec1626,MiasmaSwarm,Surface6,Lookout Landing,0,,0,,,"[-750.95, 127.05, 328.16]",Table,['Default'],
119726,MainField,E-5,0x7e5d3d28371a1795,ForbidAutoPlacementAreaOnlySphere,Surface6,Lookout Landing,0,,1,,,"[-750.95, 127.05, 328.16]",,,
119727,MainField,E-5,0x2caca23713600410,Area,Surface6,Lookout Landing,0,,1,,,"[-750.95, 17.05, 328.16]",,,
123012,MainField,E-6,0x4cdddd5346e55547,MiasmaSwarm,Surface32,Hyrule Field,0,,0,,,"[-416.76, 133.2, 1296.4]",Table,['Default'],
123254,MainField,E-6,0x71c828bbb9367142,MiasmaSwarm,Surface70,Hyrule Field,0,,0,,,"[-365.6, 126.84, 1902]",Table,['Default'],
144741,MainField,F-4,0x81b64a1d67fcdf40,MiasmaSwarm,Surface35,Lookout Landing,0,,0,,,"[126.58, 136.86, -953.94]",Table,['Default'],
144977,MainField,F-4,0x699a3b5ff9fcd918,MiasmaSwarm,Surface41,Sahasra Slope,0,,0,,,"[682.28, 179.01, -753.88]",Table,['Default'],
144978,MainField,F-4,0x91e7153aca8ddf92,MiasmaSwarm,Surface41,Sahasra Slope,0,,0,,,"[765.72, 180.67, -750.97]",Table,['Default'],
147169,MainField,F-4,0xc268b1cd030f53f2,ForbidAutoPlacementAreaOnlySphere,Surface41,Sahasra Slope,0,,1,,,"[682.28, 179.01, -753.88]",,,
147170,MainField,F-4,0xf81622944e28c65e,Area,Surface41,Sahasra Slope,0,,1,,,"[682.28, 69.01, -753.88]",,,
147171,MainField,F-4,0x6849e0f207f2c97c,ForbidAutoPlacementAreaOnlySphere,Surface41,Sahasra Slope,0,,1,,,"[765.72, 180.67, -750.97]",,,
147172,MainField,F-4,0x53002c734348ed80,Area,Surface41,Sahasra Slope,0,,1,,,"[765.72, 70.67, -750.97]",,,
155451,MainField,F-6,0x3db6b2c351eaeb16,MiasmaSwarm,Surface49,Popla Foothills,0,,0,,,"[412.91, 114.99, 1868.65]",Table,['Default'],
155465,MainField,F-6,0xd878c7931cd9cf9d,MiasmaSwarm,Surface49,Popla Foothills,0,,0,,,"[456.72, 114.99, 1953.27]",Table,['Default'],
155466,MainField,F-6,0x2293eca455956cc9,MiasmaSwarm,Surface49,Popla Foothills,0,,0,,,"[267.54, 115, 1946.99]",Table,['Default'],
157794,MainField,F-6,0x944c21b2b99321fc,ForbidAutoPlacementAreaOnlySphere,Surface49,Popla Foothills,0,,1,,,"[412.91, 114.99, 1868.65]",,,
157795,MainField,F-6,0xb37abb93c8b7f403,Area,Surface49,Popla Foothills,0,,1,,,"[412.91, 4.99, 1868.65]",,,
157821,MainField,F-6,0xbfbafd9a75cff125,ForbidAutoPlacementAreaOnlySphere,Surface49,Popla Foothills,0,,1,,,"[456.72, 114.99, 1953.27]",,,
157822,MainField,F-6,0x8acc68db746b1c85,Area,Surface49,Popla Foothills,0,,1,,,"[456.72, 4.99, 1953.27]",,,
157823,MainField,F-6,0x85a4d0f0f9e63af2,ForbidAutoPlacementAreaOnlySphere,Surface49,Popla Foothills,0,,1,,,"[267.54, 115, 1946.99]",,,
157824,MainField,F-6,0xa332456fee435f49,Area,Surface49,Popla Foothills,0,,1,,,"[267.54, 5, 1946.99]",,,
165665,MainField,F-8,0xe59870e7010f99dc,MiasmaSwarm,Surface24,Popla Foothills,0,,0,,,"[872.45, 106.84, 3849.46]",Table,['Default'],
172390,MainField,G-2,0x8912f15ef77570a0,MiasmaSwarm,Surface67,Eldin Canyon,0,,0,,,"[1497.47, 499.07, -2824.16]",Table,['Default'],
188004,MainField,G-5,0xb5848c689a981aa2,MiasmaSwarm,Surface65,Sahasra Slope,0,,0,,,"[1130.32, 174.87, 772.96]",Table,['Default'],
201853,MainField,G-8,0x35dcfb744319accd,MiasmaSwarm,Surface59,Popla Foothills,0,,0,,,"[1765.62, 252.55, 3681.43]",Table,['Default'],
201854,MainField,G-8,0x4e3a47846ef78730,MiasmaSwarm,Surface59,Popla Foothills,0,,0,,,"[1399.01, 255.6, 3203.63]",Table,['Default'],
212515,MainField,H-3,0x4b79893a3b93cfa8,MiasmaSwarm,Surface7,Eldin Canyon,0,,0,,,"[2729.99, 346.54, -1868.09]",Table,['Default'],
217748,MainField,H-4,0x9ccdca873f33801a,MiasmaSwarm,Surface84,Upland Zorana,0,,0,,,"[2551.78, 172.81, -236.39]",Table,['Default'],
230781,MainField,H-7,0xd5080dbffd1b718f,MiasmaSwarm,Surface13,Mount Lanayru,0,,0,,,"[2867.36, 122.18, 2071.5]",Table,['Default'],
239004,MainField,I-1,0xe24b1b97b921d983,MiasmaSwarm,Surface22,Ulri Mountain,0,,0,,,"[3288.98, 106.53, -3228.81]",Table,['Default'],
242016,MainField,I-2,0x403a3f142a145c34,MiasmaSwarm,Surface71,Ulri Mountain,0,,0,,,"[3646.56, 107.32, -2513.18]",Table,['Default'],
245776,MainField,I-3,0xc9fb715d3cc36f4f,MiasmaSwarm,Surface2,Ulri Mountain,0,,0,,,"[3332.34, 518.57, -1521.81]",Table,['Default'],
258401,MainField,I-6,0x93cbbd865ca0f03e,MiasmaSwarm,Surface13,Mount Lanayru,0,,0,,,"[3223.3, 264.91, 1190.62]",Table,['Default'],
258407,MainField,I-6,0x2a1cf3dbf9af37ed,MiasmaSwarm,Surface13,Mount Lanayru,0,,0,,,"[3271.93, 267.48, 1258.93]",Table,['Default'],
258408,MainField,I-6,0x47da77e9fa7fea12,MiasmaSwarm,Surface13,Mount Lanayru,0,,0,,,"[3224.91, 276.96, 1273.72]",Table,['Default'],
260102,MainField,I-6,0x77498edcdf46af82,ForbidAutoPlacementAreaOnlySphere,Surface13,Mount Lanayru,0,,1,,,"[3223.3, 264.91, 1190.62]",,,
260103,MainField,I-6,0x5a903d55eafd82e6,Area,Surface13,Mount Lanayru,0,,1,,,"[3226.11, 154.95, 1190.26]",,,
260122,MainField,I-6,0x98b889a87a83091e,ForbidAutoPlacementAreaOnlySphere,Surface13,Mount Lanayru,0,,1,,,"[3271.93, 267.48, 1258.93]",,,
260123,MainField,I-6,0xae42f68998e52cc5,Area,Surface13,Mount Lanayru,0,,1,,,"[3274.37, 157.52, 1257.5]",,,
260124,MainField,I-6,0x3b7ad835791bdf97,ForbidAutoPlacementAreaOnlySphere,Surface13,Mount Lanayru,0,,1,,,"[3224.91, 276.96, 1273.72]",,,
260125,MainField,I-6,0x14634b3c6831f433,Area,Surface13,Mount Lanayru,0,,1,,,"[3227.51, 166.99, 1274.85]",,,
269477,MainField,J-1,0x96908f66fc1e8ff5,MiasmaSwarm,Surface30,Ulri Mountain,0,,0,,,"[4655, 155.5, -3660]",Table,['Default'],
279129,MainField,J-6,0xb6245fc8ec822cd0,MiasmaSwarm,Surface38,Mount Lanayru,0,,0,,,"[4030.14, 505.57, 1411.35]",Table,['Default'],
540286,MainField,Cave__Cave_HyruleRidge_0002_GroupSet_000 ,0xf9511bbe3dcaea55,MiasmaSwarm,Cave80,,0,,0,,,"[-2957.53, 115.36, 957.9]",Table,['Default'],
540530,MainField,Cave__Cave_HyruleRidge_0003 ,0xf3aac0f50215d604,MiasmaSwarm,Cave81,,0,,0,,,"[-1798.42, 239.86, -1204.69]",Table,['Default'],
295656,MinusField,A-8,0x050d87e3cda143fb,MiasmaSwarm,Depths40,,0,,0,,,"[-4528.91, -375.73, 3706.88]",Table,['Default'],
298201,MinusField,B-1,0x8ab4613208ceccd0,MiasmaSwarm,Depths39,,0,,0,,,"[-3823.82, -781.07, -3612.3]",Table,['Default'],
381252,MinusField,E-4,0x860fef45b5f26fdf,MiasmaSwarm_LastDungeon,Depths79,,0,,0,,,"[-248.15, -1138.36, -708.63]",Table,['Default'],
403231,MinusField,F-2,0x1df7d88de17b308d,MiasmaSwarm_DekuTree,Depths14,,0,,1,,,"[411.39, -481.78, -2192.07]",Table,['Default'],
404227,MinusField,F-3,0x62f3a2fbf5a0eacd,MiasmaSwarm,Depths8,,0,,0,,,"[772.71, -518.61, -1993.55]",Table,['Default'],
424251,MinusField,G-1,0x7dbf3465d3c54376,MiasmaSwarm,Depths96,,0,,0,,,"[1589.49, -445.69, -3734.69]",Table,['Default'],
492169,MinusField,J-4,0xcbffb94957c99ece,MiasmaSwarm,Depths75,,0,,0,,,"[4650.48, -617.8, -614.56]",Table,['Default'],
