ActorName,Name,Type,Object Map Link,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height
MapRegion_Eldin_Sky,Eldin Sky,Location,Eldin Sky,1978.9487,2088.8088,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MapRegion_Eldin,Eldin,Location,Eldin,1934.8647,2232.061,-105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MapRegion_Firone_Sky,Faron Sky,Location,Faron Sky,969.32825,-2825.316,894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MapRegion_Firone,Faron,Location,Faron,969.32825,-2825.316,-105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MapRegion_Gerudo_Sky,Gerudo Sky,Location,Gerudo Sky,-3624.8682,-2759.0654,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MapRegion_Gerudo,Gerudo,Location,Gerudo,-3989.0056,-3257.3423,-105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MapRegion_Hateru_Sky,Necluda Sky,Location,Necluda Sky,2642.6465,-1964.2283,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MapRegion_Hateru,Necluda,Location,Necluda,2500.505,-1685.2559,-105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MapRegion_Hebura_Sky,Hebra Sky,Location,Hebra Sky,-3357.8232,2442.1362,894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MapRegion_Hebura,Hebra,Location,Hebra,-3357.8232,2704.6104,-105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MapRegion_HyrulePrairie_Sky,Central Hyrule Sky,Location,Central Hyrule Sky,-247.97748,77.934204,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MapRegion_HyrulePrairie,Central Hyrule,Location,Central Hyrule,-256.19678,-116.21338,-105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MapRegion_Lanayru_Sky,Lanayru Sky,Location,Lanayru Sky,3174.9326,-499.82422,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
