ActorName,Name,Image,HP,Object Map Link,Points For Defeating,Max Can Defeat For Points,Max Points With Skills,Scales To,Scale Up When Points Total Is,Attack Power 1,Attack Power 2,Attack Power 3,Attack Power 4,Element,Flammable,Fire Damage Taken,Continuous Fire Damage Taken,Freezable,Ice Damage Taken,Shockable,Electric Damage Taken,Lightning Damage Taken,Riju Lightning Damage Taken,Water Damage Taken,Light Damage Taken,Contunuous Light Damage Taken,Defeated By Ancient Blade,Can Headshot,Can Melee Headshot,"Headshot
BoneName",Can Sneakstrike,Rock Type,Arrow Damage Multiplier,Headshot Multiplier,Beam Damage Multiplier,Bomb Damage Multiplier,Can Be Dazed,Daze Duration,Can Be Confused,Spawn Time,Despawn Time,Flame Guard Level,Drowns In Water,Has Gloom Variant in Depths,Awakens Master Sword +30,IsCharacter,HP (1st Boss),HP (2nd Boss),HP (3rd Boss),HP (4th Boss),HP (5th Boss),Attack Power Multiplier (1st Boss),Attack Power Multiplier (2nd Boss),Attack Power Multiplier (3rd Boss),Attack Power Multiplier (4th Boss),Attack Power Multiplier (5th Boss),HP (Kohga 1st Battle),HP (Kohga 2nd Battle),HP (Kohga 3rd Battle),Compendium #
Enemy_Chuchu_Junior,Chuchu,,10,Chuchu,0,-,-,-,-,2,-,-,-,-,TRUE,10,1,TRUE,10,TRUE,10,10,10,0,0,0,TRUE,TRUE,FALSE,"Eye_2_L, Eye_2_R",FALSE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,093
Enemy_Chuchu_Middle,Chuchu (Medium),,20,Chuchu (Medium),0,-,-,-,-,2,-,-,-,-,TRUE,10,1,TRUE,10,TRUE,20,20,20,0,0,0,TRUE,TRUE,FALSE,"Eye_2_L, Eye_2_R",FALSE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,093
Enemy_Chuchu_Senior,Chuchu (Large),,48,Chuchu (Large),0,-,-,-,-,2,-,-,-,-,TRUE,10,1,TRUE,10,TRUE,20,48,48,0,0,0,TRUE,TRUE,FALSE,"Eye_2_L, Eye_2_R",FALSE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,093
Enemy_Chuchu_Fire_Junior,Fire Chuchu,,10,Fire Chuchu,0,-,-,-,-,2,-,-,-,Fire,FALSE,0,0,FALSE,10,TRUE,10,10,10,10,0,0,TRUE,TRUE,FALSE,"Eye_2_L, Eye_2_R",FALSE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,0,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,094
Enemy_Chuchu_Fire_Middle,Fire Chuchu (Medium),,20,Fire Chuchu (Medium),0,-,-,-,-,2,-,-,-,Fire,FALSE,0,0,FALSE,20,TRUE,20,20,20,20,0,0,TRUE,TRUE,FALSE,"Eye_2_L, Eye_2_R",FALSE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,0,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,094
Enemy_Chuchu_Fire_Senior,Fire Chuchu (Large),,48,Fire Chuchu (Large),0,-,-,-,-,2,-,-,-,Fire,FALSE,0,0,FALSE,48,TRUE,20,48,48,48,0,0,TRUE,TRUE,FALSE,"Eye_2_L, Eye_2_R",FALSE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,0,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,094
Enemy_Chuchu_Ice_Junior,Ice Chuchu,,10,Ice Chuchu,0,-,-,-,-,2,-,-,-,Ice,FALSE,10,0,FALSE,0,TRUE,10,10,10,0,0,0,TRUE,TRUE,FALSE,"Eye_2_L, Eye_2_R",FALSE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,0,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,095
Enemy_Chuchu_Ice_Middle,Ice Chuchu (Medium),,20,Ice Chuchu (Medium),0,-,-,-,-,2,-,-,-,Ice,FALSE,20,0,FALSE,0,TRUE,20,20,20,0,0,0,TRUE,TRUE,FALSE,"Eye_2_L, Eye_2_R",FALSE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,0,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,095
Enemy_Chuchu_Ice_Senior,Ice Chuchu (Large),,48,Ice Chuchu (Large),0,-,-,-,-,2,-,-,-,Ice,FALSE,48,0,FALSE,0,TRUE,20,48,48,0,0,0,TRUE,TRUE,FALSE,"Eye_2_L, Eye_2_R",FALSE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,0,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,095
Enemy_Chuchu_Electric_Junior,Electric Chuchu,,10,Electric Chuchu,0,-,-,-,-,2,-,-,-,Electric,TRUE,10,1,TRUE,10,FALSE,0,0,0,0,0,0,TRUE,TRUE,FALSE,"Eye_2_L, Eye_2_R",FALSE,FALSE,1,2,1,1,TRUE,00:03,TRUE,-,-,2,TRUE,TRUE,FALSE,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,096
