Shop ActorName,NPC ActorName,Shop Name,NPC Name,Location,Required Quest,Currency,Object Map Link,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock,Item,Price,Stock
ShopGeneral_BaseCamp,Npc_SouthernVillage005,General Store,Mubs,Lookout Landing,-,Rupees,General Store,Arrow x 5,20,5,Apple,12,5,Hylian Rice,12,3,Hyrule Bass,24,3,Fresh Milk / Hateno Cheese,12 / 20,4 / 3,Hylian Hood,70,1,Hylian Tunic,130,1,Hylian Trousers,120,1,Radiant Shirt,800,1,Stealth Chest Guard,700,1,Flamebreaker Armor,700,1,Snowquill Tunic,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopArmor_Kakariko,Npc_Kakariko012,Enchanted,Claree,Kakariko Village,-,Rupees,Enchanted,Stealth Mask,500 / 5000,1,Stealth Chest Guard,700 / 5000,1,Stealth Tights,600 / 5000,1,Radiant Mask,800 / 5000,1,Radiant Tights,800 / 5000,1,Radiant Shirt,800 / 5000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopGeneral_Kakariko,Npc_Kakariko014,High Spirits Produce,Trissa,Kakariko Village,-,Rupees,High Spirits Produce,Swift Carrot,16,12,Fortified Pumpkin,20,3,Bird Egg,12,5,Goat Butter,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopGeneral_Kakariko,Npc_Kakariko010,The Curious Quiver,Rola,Kakariko Village,-,Rupees,The Curious Quiver,Arrow x 5,20,2,Arrow,5,10,Aerocuda Wing,24,3,Aerocuda Eyeball,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopGeneral_Hateno,Npc_HatenoVillage002,East Wind,Pruce,Hateno Village,-,Rupees,East Wind,Goat Butter,12,5,Hylian Shroom,12,3,Fortified Pumpkin,20,2,Arrow x 5,20,3,Fresh Milk,12,3,Swift Carrot,16,10,Hylian Tomato,16,10,Bird Egg,12,5,Hylian Rice,12,5,Sun Pumpkin,20,2,Hateno Cheese,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopArmor_Hateno,Npc_HatenoVillage019,Ventest Clothing Boutique,Sophie,Hateno Village,-,Rupees,Ventest Clothing Boutique,Hylian Hood,70,1,Hylian Tunic,130,1,Hylian Trousers,120,1,Royal Guard Uniform,2200,1,Cece Hat,4000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Npc_HatenoVillage019_SisterA,Cece,Cece,Hateno Village,The Mayoral Election,Rupees,Cece,Well-Worn Hair Band,20,1,Archaic Tunic,50,1,Archaic Legwear,50,1,Archaic Warm Greaves,80,1,Soldier's Helm,180,1,Soldier's Armor,250,1,Soldier's Greaves,200,1,Climber's Bandanna,800,1,Climbing Gear,700,1,Climbing Boots,600,1,Rubber Helm,4000,1,Rubber Armor,4000,1,Rubber Tights,4000,1,Barbarian Helm,4000,1,Barbarian Armor,4000,1,Barbarian Leg Wraps,4000,1,Glide Mask,4000,1,Glide Shirt,4000,1,Glide Tights,4000,1,Froggy Hood,4000,1,Froggy Sleeve,4000,1,Froggy Leggings,4000,1,Miner's Mask,4000,1,Miner's Top,4000,1,Miner's Trousers,4000,1,Ember Headdress,4000,1,Ember Shirt,4000,1,Ember Trousers,4000,1,Frostbite Headdress,4000,1,Frostbite Shirt,4000,1,Frostbite Trousers,4000,1,Mystic Headpiece,4000,1,Mystic Robe,4000,1,Mystic Trousers,4000,1,Zonaite Helm,4000,1,Zonaite Waistguard,4000,1,Zonaite Shin Guards,4000,1,Bokoblin Mask,4000,1,Moblin Mask,4000,1,Lizalfos Mask,4000,1,Horriblin Mask,4000,1,Lynel Mask,4000,1,Yiga Mask,4000,1,Yiga Armor,4000,1,Yiga Tights,4000,1,Royal Guard Cap,4000,1,Royal Guard Boots,4000,1,Vah Ruta Divine Helm,4000,1,Vah Medoh Divine Helm,4000,1,Vah Rudania Divine Helm,4000,1,Vah Naboris Divine Helm,4000,1,Hylian Shield,3000,1,,,,,,,,,,,,,,,,,,,,,,,,
-,Npc_HatenoVillage025,Koyin,Koyin,Hateno Village,The Mayoral Election,Rupees,Koyin,Hateno Cheese,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Obj_HatenoLaboBook_A_01,Compendium Shop,-,Hateno Ancient Tech Lab,Filling Out the Compendium,Rupees,Compendium Shop,Fauna Picture,100,1,Enemy Picture,100,10,Material Picture,100,1,Weapon Picture,100,1,Other Picture,100,1,Elite Enemy Picture,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,Npc_AncientAssistant003,Dream Home Shop,Grantéson,Link's House,Home on Arrange,Rupees,Dream Home Shop,Angled Room,300,10,Furnished Angled Room,400,10,Square Room,350,10,Furnished Square Room,450,10,Weapon Stand Room,600,3,Bow Stand Room,600,3,Shield Stand Room,600,3,Gallery,400,3,Bedroom,400,5,Kitchen,400,5,Blessing Room,400,5,Paddock,400,10,Foyer,300,15,Study,250,15,Indoor Stairs,300,15,Outdoor Stairs,300,15,Garden Pond,300,15,Flower Bed,250,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
