ActorName,Lightroot ActorName,Shrine Name,Lightroot Name,Title,Type,Location,Region,Map Layer,In Cave?,Shrine Quest,Shrine Object Map Link,X,Y,Height,Lightroot Object Map Link,Lightroot X,Lightroot Y,Lightroot Height,Shrine Name (Japanese),Lightroot Name (Japanese)
Dungeon060,-,Ukouh Shrine,-,The Ability to Create,Puzzle,Great Sky Island,Central Hyrule Sky,Sky,No,-,Ukouh Shrine,274,-912,1473,-,-,-,-,ウコウホの祠,-
Dungeon061,-,Gutanbac Shrine,-,The Ability to Rise,Puzzle,Great Sky Island,Central Hyrule Sky,Sky,No,-,Gutanbac Shrine,709,-1382,1598,-,-,-,-,グタンバチの祠,-
Dungeon062,-,In-isa Shrine,-,The Ability to Combine,Puzzle,Great Sky Island,Central Hyrule Sky,Sky,No,-,In-isa Shrine,26,-1503,1422,-,-,-,-,インイサの祠,-
Dungeon063,-,Nachoyah Shrine,-,The Ability to Rewind,Puzzle,Great Sky Island,Central Hyrule Sky,Sky,No,-,Nachoyah Shrine,389,-1661,2312,-,-,-,-,ナチョヤハの祠,-
Dungeon129,CheckPoint129,Sinatanika Shrine,Akinatanis Lightroot,Combat Training: Sneakstrike,Combat Training,Akkala Highlands,Akkala,Surface,No,-,Sinatanika Shrine,3841,2300,61,Akinatanis Lightroot,3840,2300,-508,シナタニカカの祠,カカニタナシの根
Dungeon080,CheckPoint080,Rasitakiwak Shrine,Kawikatisar Lightroot,Proving Grounds: Vehicles,Proving Grounds,Akkala Highlands,Akkala,Surface,No,-,Rasitakiwak Shrine,4166,1322,242,Kawikatisar Lightroot,4166,1321,-694,ラシタキワカの祠,カワキタシラの根
Dungeon018,CheckPoint018,Gemimik Shrine,Kimimeg Lightroot,Turbine Power,Puzzle,Akkala Highlands,Akkala,Surface,No,-,Gemimik Shrine,4512,2115,15,Kimimeg Lightroot,4512,2115,-474,ゲミミカの祠,カミミゲの根
Dungeon051,CheckPoint051,Domizuin Shrine,Niuzimod Lightroot,A Prone Pathway,Puzzle,Akkala Highlands,Akkala,Surface,No,-,Domizuin Shrine,3304,1442,439,Niuzimod Lightroot,3304,1442,-811,ドミズイノの祠,ノイズミドの根
Dungeon143,CheckPoint143,Gatanisis Shrine,Sisinatag Lightroot,A Well-Timed Bounce,Puzzle,Akkala Highlands,Akkala,Surface,No,-,Gatanisis Shrine,4497,826,109,Sisinatag Lightroot,4497,827,-556,ガタニシシの祠,シシニタガの根
Dungeon134,CheckPoint134,Jochi-ihiga Shrine,Agihi-ihcoj Lightroot,Rauru's Blessing,Rauru's Blessing,Akkala Highlands,Akkala,Surface,No,Rock for Sale,Jochi-ihiga Shrine,3810,1219,104,Agihi-ihcoj Lightroot,3811,1219,-557,ジョチイヒガの祠,ガヒイチョジの根
